t,ap,cp,v
1738584116,2356.61,2302.35,1811
1738584177,2356.61,2302.35,1811
1738584237,2356.58,2302.30,1812
1738584299,2351.45,2305.00,2012
1738584356,2351.19,2301.40,2023
1738584419,2350.51,2299.95,2050
1738584478,2350.51,2299.95,2050
1738584539,2350.51,2299.95,2050
1738584598,2350.51,2299.95,2050
1738584658,2350.51,2299.95,2050
1738584719,2350.51,2299.95,2050
1738584778,2350.51,2299.95,2050
1738584839,2350.51,2299.95,2050
1738584893,2350.51,2299.95,2050
1738584959,2350.51,2299.95,2050
1738585019,2350.49,2306.60,2051
1738585079,2350.49,2306.60,2051
1738585136,2350.49,2306.60,2051
1738585196,2350.14,2302.35,2066
1738585248,2350.14,2302.35,2066
1738585299,2350.14,2302.35,2066
1738585378,2350.04,2299.95,2070
1738585438,2350.04,2299.95,2070
1738585498,2350.04,2299.95,2070
1738585539,2350.04,2299.95,2070
1738585618,2350.00,2303.05,2072
1738585676,2350.00,2303.05,2072
1738585739,2348.88,2302.45,2122
1738585798,2348.88,2302.45,2122
1738585853,2348.83,2302.45,2124
1738585914,2348.83,2302.45,2124
1738585979,2348.83,2302.45,2124
1738586039,2348.81,2299.00,2125
1738586099,2348.07,2309.90,2165
1738586158,2348.07,2309.90,2165
1738586219,2348.05,2311.05,2166
1738586279,2346.91,2304.00,2224
1738586339,2346.91,2304.00,2224
1738586399,2337.60,2288.05,2724
1738586459,2336.90,2270.00,2756
1738586519,2325.37,2271.00,3309
1738586579,2321.66,2277.00,3559
1738586639,2321.66,2277.00,3559
1738586699,2321.66,2277.00,3559
1738586759,2321.63,2278.25,3561
1738586813,2321.57,2279.05,3566
1738586879,2321.57,2279.05,3566
1738586939,2321.57,2279.05,3566
1738586996,2321.57,2279.05,3566
1738587048,2321.57,2279.05,3566
1738587119,2321.57,2279.05,3566
1738587179,2321.57,2279.05,3566
1738587232,2321.57,2279.05,3566
1738587298,2321.57,2279.05,3566
1738587357,2321.56,2292.35,3567
1738587417,2321.56,2292.35,3567
1738587478,2321.56,2292.35,3567
1738587529,2321.56,2292.35,3567
1738587599,2321.56,2292.35,3567
1738587655,2321.53,2287.30,3571
1738587719,2321.53,2287.30,3571
1738587776,2321.53,2287.30,3571
1738587836,2321.53,2287.30,3571
1738587898,2321.53,2287.30,3571
1738587958,2321.45,2285.00,3579
1738588018,2321.45,2285.00,3579
1738588077,2321.45,2285.00,3579
1738588139,2321.45,2285.00,3579
1738588198,2321.44,2290.35,3580
1738588254,2321.44,2290.35,3580
1738588315,2321.44,2290.35,3580
1738588376,2321.44,2290.35,3580
1738588438,2321.37,2286.90,3587
1738588495,2321.37,2286.90,3587
1738588559,2321.37,2286.90,3587
1738588618,2321.37,2286.90,3587
1738588674,2321.37,2286.90,3587
1738588739,2321.37,2286.90,3587
1738588795,2321.37,2286.90,3587
1738588849,2321.37,2286.90,3587
1738588908,2321.37,2286.90,3587
1738588978,2321.35,2289.35,3590
1738589039,2321.35,2289.35,3590
1738589098,2321.35,2289.35,3590
1738589159,2321.35,2289.35,3590
1738589218,2321.16,2282.75,3607
1738589278,2321.16,2282.75,3607
1738589338,2321.16,2282.75,3607
1738589395,2321.16,2282.75,3607
1738589458,2321.15,2279.90,3608
1738589519,2321.14,2274.25,3609
1738589579,2321.14,2274.25,3609
1738589639,2321.14,2274.25,3609
1738589693,2321.14,2274.25,3609
1738589759,2321.14,2274.25,3609
1738589819,2321.14,2274.25,3609
1738589879,2321.14,2274.25,3609
1738589939,2321.14,2274.25,3609
1738589997,2319.67,2296.55,3793
1738590059,2319.66,2310.10,3796
1738590119,2319.62,2308.00,3814
1738590174,2319.59,2312.35,3826
1738590239,2319.58,2305.40,3829
1738590298,2319.56,2306.45,3837
1738590343,2319.56,2306.45,3837
1738590415,2319.40,2310.65,3911
1738590473,2319.38,2307.65,3915
1738590532,2319.38,2307.65,3915
1738590599,2319.38,2307.65,3915
1738590658,2319.38,2307.65,3915
1738590719,2319.38,2307.65,3915
1738590779,2319.38,2310.10,3916
1738590838,2319.36,2310.10,3926
1738590890,2319.36,2310.10,3926
1738590946,2319.36,2310.10,3926
1738591015,2319.36,2310.10,3926
1738591078,2319.36,2313.45,3927
1738591138,2319.36,2313.45,3927
1738591199,2319.36,2313.45,3927
1738591259,2319.36,2316.95,3928
1738591316,2319.36,2316.95,3928
1738591375,2319.36,2316.95,3928
1738591438,2319.36,2316.95,3928
1738591491,2319.36,2316.95,3928
1738591515,2319.19,2311.90,4013
1738591619,2319.19,2311.90,4013
1738591678,2319.19,2311.90,4013
1738591732,2319.19,2311.90,4013
1738591799,2319.19,2313.20,4014
1738591855,2319.19,2313.20,4014
1738591919,2318.87,2309.70,4139
1738591977,2318.87,2309.70,4139
1738592038,2318.87,2309.70,4139
1738592099,2318.87,2308.75,4140
1738592159,2318.87,2308.75,4140
1738592219,2318.87,2308.75,4140
1738592276,2318.87,2308.75,4140
1738592338,2318.87,2308.75,4140
1738592399,2318.85,2313.05,4152
1738592459,2322.32,2375.60,4872
1738592519,2322.41,2382.10,4880
1738592579,2325.29,2393.00,5121
1738592639,2328.62,2367.65,5530
1738592699,2331.72,2370.20,5901
1738592759,2335.90,2391.00,6410
1738592819,2337.15,2378.00,6589
1738592879,2337.55,2371.25,6666
1738592939,2337.65,2368.00,6686
1738592999,2337.57,2326.85,6939
1738593059,2337.44,2333.60,7068
1738593119,2337.42,2336.85,7098
1738593179,2337.89,2342.55,7351
1738593239,2337.92,2341.10,7381
1738593299,2337.92,2341.70,7383
1738593359,2337.92,2338.90,7390
1738593419,2337.88,2326.25,7453
1738593479,2337.88,2326.25,7453
1738593539,2337.88,2325.00,7456
1738593599,2337.88,2325.00,7456
1738593659,2337.88,2325.00,7456
1738593719,2337.87,2332.75,7467
1738593779,2337.87,2332.75,7467
1738593836,2337.87,2332.40,7469
1738593898,2337.83,2328.00,7531
1738593959,2337.62,2300.00,7592
1738594019,2337.37,2299.90,7640
1738594079,2337.13,2294.45,7684
1738594139,2337.10,2300.85,7691
1738594197,2337.10,2300.85,7691
1738594259,2337.10,2300.85,7691
1738594318,2337.00,2293.55,7712
1738594379,2337.00,2293.55,7712
1738594438,2337.00,2293.55,7712
1738594498,2337.00,2293.55,7712
1738594558,2336.98,2304.90,7716
1738594618,2336.84,2296.65,7742
1738594679,2336.83,2296.65,7743
1738594735,2336.83,2296.65,7743
1738594797,2336.83,2296.65,7743
1738594859,2336.83,2296.65,7743
1738594919,2336.16,2294.50,7881
1738594979,2335.83,2300.20,7952
1738595039,2335.82,2302.45,7954
1738595099,2335.82,2302.45,7954
1738595158,2335.77,2292.65,7963
1738595219,2335.77,2292.65,7963
1738595279,2335.77,2292.65,7963
1738595335,2335.77,2292.65,7963
1738595399,2335.34,2296.85,8037
1738595458,2334.96,2298.95,8134
1738595518,2334.96,2298.95,8134
1738595578,2334.92,2294.50,8143
1738595638,2334.12,2284.10,8295
1738595698,2334.05,2295.00,8310
1738595759,2334.04,2290.00,8312
1738595818,2334.03,2287.35,8314
1738595879,2333.77,2275.45,8352
1738595939,2333.44,2273.15,8398
1738595999,2333.43,2283.15,8400
1738596058,2333.30,2280.05,8419
1738596118,2333.17,2283.55,8441
1738596179,2332.76,2274.25,8500
1738596239,2332.37,2274.25,8556
1738596296,2330.45,2273.00,8831
1738596359,2330.06,2274.90,8892
1738596419,2329.76,2276.00,8941
1738596478,2329.75,2277.00,8942
1738596539,2329.74,2276.00,8944
1738596596,2328.99,2284.00,9081
1738596602,2328.99,2284.00,9081
1738596684,2328.99,2284.00,9081
1738597213,2328.97,2283.65,9086
1738597602,2328.97,2283.65,9086
1738597677,2328.96,2283.65,9088
1738598401,2328.96,2283.65,9088
1738598487,2328.96,2283.65,9088
1738573635,2320.95,2320.95,15
1738573682,2320.95,2320.95,15
1738573756,2320.95,2320.95,15
1738574159,2320.95,2320.95,15
1738574219,2367.18,2385.65,40
1738574279,2384.99,2384.85,159
1738574339,2379.22,2362.85,293
1738574399,2379.14,2374.50,298
1738574459,2379.08,2375.20,303
1738574518,2376.41,2366.35,378
1738574579,2376.22,2367.85,386
1738574639,2375.83,2372.45,431
1738574697,2375.81,2375.05,439
1738574759,2375.64,2379.90,450
1738574819,2376.65,2386.85,494
1738574879,2376.65,2386.85,494
1738574939,2378.04,2395.15,535
1738574999,2379.68,2405.65,570
1738575058,2379.78,2398.85,573
1738575119,2379.94,2401.65,578
1738575179,2379.94,2401.65,578
1738575239,2380.93,2394.05,621
1738575293,2380.97,2393.45,623
1738575355,2380.97,2393.45,623
1738575419,2380.98,2389.10,624
1738575478,2380.98,2389.10,624
1738575538,2380.98,2389.10,624
1738575599,2380.98,2389.10,624
1738575657,2380.98,2389.10,624
1738575719,2380.98,2389.10,624
1738575779,2381.32,2391.90,644
1738575826,2381.57,2393.10,658
1738575897,2381.64,2396.25,661
1738575959,2381.75,2396.25,666
1738576016,2381.75,2396.25,666
1738576079,2381.75,2396.25,666
1738576138,2381.76,2389.10,667
1738576199,2381.77,2383.20,670
1738576259,2381.82,2384.95,680
1738576319,2381.81,2379.55,682
1738576378,2381.61,2370.05,694
1738576439,2380.18,2360.45,753
1738576499,2380.18,2360.45,753
1738576559,2380.18,2360.45,753
1738576619,2380.18,2360.45,753
1738576679,2380.15,2359.10,754
1738576739,2380.15,2359.10,754
1738576799,2380.15,2359.10,754
1738576859,2380.02,2371.10,765
1738576919,2380.02,2371.10,765
1738576979,2379.71,2372.65,800
1738577039,2379.46,2370.05,821
1738577099,2379.44,2371.10,823
1738577159,2379.44,2371.10,823
1738577218,2379.29,2355.05,828
1738577278,2379.29,2355.05,828
1738577337,2379.29,2355.05,828
1738577397,2379.29,2355.05,828
1738577456,2379.29,2355.05,828
1738577519,2379.29,2355.05,828
1738577579,2379.27,2367.45,829
1738577639,2378.37,2360.00,874
1738577699,2378.37,2360.00,874
1738577759,2378.28,2358.60,878
1738577818,2378.28,2358.60,878
1738577875,2377.90,2359.15,896
1738577939,2377.90,2359.15,896
1738577998,2377.90,2359.15,896
1738578059,2377.90,2359.15,896
1738578119,2377.90,2359.15,896
1738578176,2377.87,2355.05,897
1738578239,2377.82,2354.90,899
1738578298,2377.82,2354.90,899
1738578357,2377.82,2354.90,899
1738578419,2377.82,2354.90,899
1738578479,2377.82,2354.90,899
1738578539,2375.10,2344.80,1000
1738578596,2374.73,2337.80,1010
1738578656,2374.69,2336.05,1011
1738578717,2374.69,2336.05,1011
1738578778,2374.35,2336.10,1020
1738578839,2374.35,2336.10,1020
1738578898,2374.35,2336.10,1020
1738578953,2374.21,2344.75,1025
1738579018,2374.21,2344.75,1025
1738579079,2372.20,2334.30,1080
1738579139,2372.20,2334.30,1080
1738579198,2372.20,2334.30,1080
1738579258,2372.20,2334.30,1080
1738579319,2372.20,2334.30,1080
1738579378,2371.57,2336.25,1099
1738579439,2371.51,2332.90,1101
1738579499,2371.17,2339.60,1113
1738579559,2371.17,2339.60,1113
1738579619,2371.17,2339.60,1113
1738579673,2371.17,2339.60,1113
1738579739,2371.17,2339.60,1113
1738579799,2370.96,2344.50,1121
1738579859,2367.26,2350.00,1351
1738579919,2367.26,2350.00,1351
1738579979,2367.26,2350.00,1351
1738580039,2367.26,2350.00,1351
1738580094,2367.26,2350.00,1351
1738580158,2367.26,2350.00,1351
1738580218,2367.15,2347.45,1358
1738580278,2367.15,2347.45,1358
1738580339,2367.15,2347.45,1358
1738580399,2367.06,2344.95,1364
1738580459,2366.92,2346.30,1373
1738580519,2366.92,2346.30,1373
1738580578,2366.92,2346.30,1373
1738580638,2366.59,2344.00,1393
1738580696,2366.59,2344.00,1393
1738580758,2366.59,2344.00,1393
1738580817,2365.78,2346.00,1450
1738580879,2365.78,2346.00,1450
1738580938,2365.74,2343.85,1453
1738580998,2365.74,2343.85,1453
1738581059,2365.74,2343.85,1453
1738581116,2365.74,2343.85,1453
1738581179,2365.74,2343.85,1453
1738581238,2365.74,2343.85,1453
1738581299,2365.74,2343.85,1453
1738581359,2365.74,2343.85,1453
1738581419,2365.61,2340.05,1460
1738581478,2365.61,2340.05,1460
1738581533,2365.61,2340.05,1460
1738581599,2365.61,2340.05,1460
1738581659,2365.51,2336.45,1465
1738581719,2365.51,2336.45,1465
1738581777,2365.51,2336.45,1465
1738581838,2365.51,2336.45,1465
1738581899,2365.51,2336.45,1465
1738581958,2365.51,2336.45,1465
1738582018,2365.49,2339.50,1466
1738582079,2365.49,2339.50,1466
1738582137,2365.38,2341.00,1473
1738582197,2365.28,2336.45,1478
1738582251,2365.28,2336.45,1478
1738582318,2365.28,2336.45,1478
1738582378,2365.28,2336.45,1478
1738582439,2365.19,2339.95,1483
1738582499,2365.19,2339.95,1483
1738582551,2365.19,2339.95,1483
1738582616,2365.19,2339.95,1483
1738582671,2365.19,2339.95,1483
1738582738,2365.19,2339.95,1483
1738582799,2365.19,2339.95,1483
1738582858,2365.16,2339.40,1485
1738582919,2365.16,2339.40,1485
1738582979,2364.99,2336.45,1494
1738583039,2364.99,2336.45,1494
1738583095,2364.82,2332.25,1502
1738583156,2364.42,2331.00,1520
1738583219,2364.15,2330.00,1532
1738583279,2364.15,2330.00,1532
1738583338,2364.13,2329.15,1533
1738583399,2364.00,2325.00,1538
1738583459,2359.17,2318.45,1728
1738583519,2359.17,2318.45,1728
1738583578,2358.61,2310.00,1748
1738583637,2358.58,2310.10,1749
1738583699,2358.53,2308.60,1751
1738583759,2358.50,2308.60,1752
1738583817,2358.50,2308.60,1752
1738583878,2358.50,2308.60,1752
1738583934,2358.50,2308.60,1752
1738583999,2357.16,2300.00,1793
1738584055,2356.61,2302.35,1811
1738584116,2356.61,2302.35,1811
1738584177,2356.61,2302.35,1811
1738584237,2356.58,2302.30,1812
1738584299,2351.45,2305.00,2012
1738584356,2351.19,2301.40,2023
1738584419,2350.51,2299.95,2050
1738584478,2350.51,2299.95,2050
1738584539,2350.51,2299.95,2050
1738584598,2350.51,2299.95,2050
1738584658,2350.51,2299.95,2050
1738584719,2350.51,2299.95,2050
1738584778,2350.51,2299.95,2050
1738584839,2350.51,2299.95,2050
1738584893,2350.51,2299.95,2050
1738584959,2350.51,2299.95,2050
1738585019,2350.49,2306.60,2051
1738585079,2350.49,2306.60,2051
1738585136,2350.49,2306.60,2051
1738585196,2350.14,2302.35,2066
1738585248,2350.14,2302.35,2066
1738585299,2350.14,2302.35,2066
1738585378,2350.04,2299.95,2070
1738585438,2350.04,2299.95,2070
1738585498,2350.04,2299.95,2070
1738585539,2350.04,2299.95,2070
1738585618,2350.00,2303.05,2072
1738585676,2350.00,2303.05,2072
1738585739,2348.88,2302.45,2122
1738585798,2348.88,2302.45,2122
1738585853,2348.83,2302.45,2124
1738585914,2348.83,2302.45,2124
1738585979,2348.83,2302.45,2124
1738586039,2348.81,2299.00,2125
1738586099,2348.07,2309.90,2165
1738586158,2348.07,2309.90,2165
1738586219,2348.05,2311.05,2166
1738586279,2346.91,2304.00,2224
1738586339,2346.91,2304.00,2224
1738586399,2337.60,2288.05,2724
1738586459,2336.90,2270.00,2756
1738586519,2325.37,2271.00,3309
1738586579,2321.66,2277.00,3559
1738586639,2321.66,2277.00,3559
1738586699,2321.66,2277.00,3559
1738586759,2321.63,2278.25,3561
1738586813,2321.57,2279.05,3566
1738586879,2321.57,2279.05,3566
1738586939,2321.57,2279.05,3566
1738586996,2321.57,2279.05,3566
1738587048,2321.57,2279.05,3566
1738587119,2321.57,2279.05,3566
1738587179,2321.57,2279.05,3566
1738587232,2321.57,2279.05,3566
1738587298,2321.57,2279.05,3566
1738587357,2321.56,2292.35,3567
1738587417,2321.56,2292.35,3567
1738587478,2321.56,2292.35,3567
1738587529,2321.56,2292.35,3567
1738587599,2321.56,2292.35,3567
1738587655,2321.53,2287.30,3571
1738587719,2321.53,2287.30,3571
1738587776,2321.53,2287.30,3571
1738587836,2321.53,2287.30,3571
1738587898,2321.53,2287.30,3571
1738587958,2321.45,2285.00,3579
1738588018,2321.45,2285.00,3579
1738588077,2321.45,2285.00,3579
1738588139,2321.45,2285.00,3579
1738588198,2321.44,2290.35,3580
1738588254,2321.44,2290.35,3580
1738588315,2321.44,2290.35,3580
1738588376,2321.44,2290.35,3580
1738588438,2321.37,2286.90,3587
1738588495,2321.37,2286.90,3587
1738588559,2321.37,2286.90,3587
1738588618,2321.37,2286.90,3587
1738588674,2321.37,2286.90,3587
1738588739,2321.37,2286.90,3587
1738588795,2321.37,2286.90,3587
1738588849,2321.37,2286.90,3587
1738588908,2321.37,2286.90,3587
1738588978,2321.35,2289.35,3590
1738589039,2321.35,2289.35,3590
1738589098,2321.35,2289.35,3590
1738589159,2321.35,2289.35,3590
1738589218,2321.16,2282.75,3607
1738589278,2321.16,2282.75,3607
1738589338,2321.16,2282.75,3607
1738589395,2321.16,2282.75,3607
1738589458,2321.15,2279.90,3608
1738589519,2321.14,2274.25,3609
1738589579,2321.14,2274.25,3609
1738589639,2321.14,2274.25,3609
1738589693,2321.14,2274.25,3609
1738589759,2321.14,2274.25,3609
1738589819,2321.14,2274.25,3609
1738589879,2321.14,2274.25,3609
1738589939,2321.14,2274.25,3609
1738589997,2319.67,2296.55,3793
1738590059,2319.66,2310.10,3796
1738590119,2319.62,2308.00,3814
1738590174,2319.59,2312.35,3826
1738590239,2319.58,2305.40,3829
1738590298,2319.56,2306.45,3837
1738590343,2319.56,2306.45,3837
1738590415,2319.40,2310.65,3911
1738590473,2319.38,2307.65,3915
1738590532,2319.38,2307.65,3915
1738590599,2319.38,2307.65,3915
1738590658,2319.38,2307.65,3915
1738590719,2319.38,2307.65,3915
1738590779,2319.38,2310.10,3916
1738590838,2319.36,2310.10,3926
1738590890,2319.36,2310.10,3926
1738590946,2319.36,2310.10,3926
1738591015,2319.36,2310.10,3926
1738591078,2319.36,2313.45,3927
1738591138,2319.36,2313.45,3927
1738591199,2319.36,2313.45,3927
1738591259,2319.36,2316.95,3928
1738591316,2319.36,2316.95,3928
1738591375,2319.36,2316.95,3928
1738591438,2319.36,2316.95,3928
1738591491,2319.36,2316.95,3928
1738591515,2319.19,2311.90,4013
1738591619,2319.19,2311.90,4013
1738591678,2319.19,2311.90,4013
1738591732,2319.19,2311.90,4013
1738591799,2319.19,2313.20,4014
1738591855,2319.19,2313.20,4014
1738591919,2318.87,2309.70,4139
1738591977,2318.87,2309.70,4139
1738592038,2318.87,2309.70,4139
1738592099,2318.87,2308.75,4140
1738592159,2318.87,2308.75,4140
1738592219,2318.87,2308.75,4140
1738592276,2318.87,2308.75,4140
1738592338,2318.87,2308.75,4140
1738592399,2318.85,2313.05,4152
1738592459,2322.32,2375.60,4872
1738592519,2322.41,2382.10,4880
1738592579,2325.29,2393.00,5121
1738592639,2328.62,2367.65,5530
1738592699,2331.72,2370.20,5901
1738592759,2335.90,2391.00,6410
1738592819,2337.15,2378.00,6589
1738592879,2337.55,2371.25,6666
1738592939,2337.65,2368.00,6686
1738592999,2337.57,2326.85,6939
1738593059,2337.44,2333.60,7068
1738593119,2337.42,2336.85,7098
1738593179,2337.89,2342.55,7351
1738593239,2337.92,2341.10,7381
1738593299,2337.92,2341.70,7383
1738593359,2337.92,2338.90,7390
1738593419,2337.88,2326.25,7453
1738593479,2337.88,2326.25,7453
1738593539,2337.88,2325.00,7456
1738593599,2337.88,2325.00,7456
1738593659,2337.88,2325.00,7456
1738593719,2337.87,2332.75,7467
1738593779,2337.87,2332.75,7467
1738593836,2337.87,2332.40,7469
1738593898,2337.83,2328.00,7531
1738593959,2337.62,2300.00,7592
1738594019,2337.37,2299.90,7640
1738594079,2337.13,2294.45,7684
1738594139,2337.10,2300.85,7691
1738594197,2337.10,2300.85,7691
1738594259,2337.10,2300.85,7691
1738594318,2337.00,2293.55,7712
1738594379,2337.00,2293.55,7712
1738594438,2337.00,2293.55,7712
1738594498,2337.00,2293.55,7712
1738594558,2336.98,2304.90,7716
1738594618,2336.84,2296.65,7742
1738594679,2336.83,2296.65,7743
1738594735,2336.83,2296.65,7743
1738594797,2336.83,2296.65,7743
1738594859,2336.83,2296.65,7743
1738594919,2336.16,2294.50,7881
1738594979,2335.83,2300.20,7952
1738595039,2335.82,2302.45,7954
1738595099,2335.82,2302.45,7954
1738595158,2335.77,2292.65,7963
1738595219,2335.77,2292.65,7963
1738595279,2335.77,2292.65,7963
1738595335,2335.77,2292.65,7963
1738595399,2335.34,2296.85,8037
1738595458,2334.96,2298.95,8134
1738595518,2334.96,2298.95,8134
1738595578,2334.92,2294.50,8143
1738595638,2334.12,2284.10,8295
1738595698,2334.05,2295.00,8310
1738595759,2334.04,2290.00,8312
1738595818,2334.03,2287.35,8314
1738595879,2333.77,2275.45,8352
1738595939,2333.44,2273.15,8398
1738595999,2333.43,2283.15,8400
1738596058,2333.30,2280.05,8419
1738596118,2333.17,2283.55,8441
1738596179,2332.76,2274.25,8500
1738596239,2332.37,2274.25,8556
1738596296,2330.45,2273.00,8831
1738596359,2330.06,2274.90,8892
1738596419,2329.76,2276.00,8941
1738596478,2329.75,2277.00,8942
1738596539,2329.74,2276.00,8944
1738596596,2328.99,2284.00,9081
1738596602,2328.99,2284.00,9081
1738596684,2328.99,2284.00,9081
1738597213,2328.97,2283.65,9086
1738597602,2328.97,2283.65,9086
1738597677,2328.96,2283.65,9088
1738598401,2328.96,2283.65,9088
1738598487,2328.96,2283.65,9088
1738573635,2320.95,2320.95,15
1738573682,2320.95,2320.95,15
1738573756,2320.95,2320.95,15
1738574159,2320.95,2320.95,15
1738574219,2367.18,2385.65,40
1738574279,2384.99,2384.85,159
1738574339,2379.22,2362.85,293
1738574399,2379.14,2374.50,298
1738574459,2379.08,2375.20,303
1738574518,2376.41,2366.35,378
1738574579,2376.22,2367.85,386
1738574639,2375.83,2372.45,431
1738574697,2375.81,2375.05,439
1738574759,2375.64,2379.90,450
1738574819,2376.65,2386.85,494
1738574879,2376.65,2386.85,494
1738574939,2378.04,2395.15,535
1738574999,2379.68,2405.65,570
1738575058,2379.78,2398.85,573
1738575119,2379.94,2401.65,578
1738575179,2379.94,2401.65,578
1738575239,2380.93,2394.05,621
1738575293,2380.97,2393.45,623
1738575355,2380.97,2393.45,623
1738575419,2380.98,2389.10,624
1738575478,2380.98,2389.10,624
1738575538,2380.98,2389.10,624
1738575599,2380.98,2389.10,624
1738575657,2380.98,2389.10,624
1738575719,2380.98,2389.10,624
1738575779,2381.32,2391.90,644
1738575826,2381.57,2393.10,658
1738575897,2381.64,2396.25,661
1738575959,2381.75,2396.25,666
1738576016,2381.75,2396.25,666
1738576079,2381.75,2396.25,666
1738576138,2381.76,2389.10,667
1738576199,2381.77,2383.20,670
1738576259,2381.82,2384.95,680
1738576319,2381.81,2379.55,682
1738576378,2381.61,2370.05,694
1738576439,2380.18,2360.45,753
1738576499,2380.18,2360.45,753
1738576559,2380.18,2360.45,753
1738576619,2380.18,2360.45,753
1738576679,2380.15,2359.10,754
1738576739,2380.15,2359.10,754
1738576799,2380.15,2359.10,754
1738576859,2380.02,2371.10,765
1738576919,2380.02,2371.10,765
1738576979,2379.71,2372.65,800
1738577039,2379.46,2370.05,821
1738577099,2379.44,2371.10,823
1738577159,2379.44,2371.10,823
1738577218,2379.29,2355.05,828
1738577278,2379.29,2355.05,828
1738577337,2379.29,2355.05,828
1738577397,2379.29,2355.05,828
1738577456,2379.29,2355.05,828
1738577519,2379.29,2355.05,828
1738577579,2379.27,2367.45,829
1738577639,2378.37,2360.00,874
1738577699,2378.37,2360.00,874
1738577759,2378.28,2358.60,878
1738577818,2378.28,2358.60,878
1738577875,2377.90,2359.15,896
1738577939,2377.90,2359.15,896
1738577998,2377.90,2359.15,896
1738578059,2377.90,2359.15,896
1738578119,2377.90,2359.15,896
1738578176,2377.87,2355.05,897
1738578239,2377.82,2354.90,899
1738578298,2377.82,2354.90,899
1738578357,2377.82,2354.90,899
1738578419,2377.82,2354.90,899
1738578479,2377.82,2354.90,899
1738578539,2375.10,2344.80,1000
1738578596,2374.73,2337.80,1010
1738578656,2374.69,2336.05,1011
1738578717,2374.69,2336.05,1011
1738578778,2374.35,2336.10,1020
1738578839,2374.35,2336.10,1020
1738578898,2374.35,2336.10,1020
1738578953,2374.21,2344.75,1025
1738579018,2374.21,2344.75,1025
1738579079,2372.20,2334.30,1080
1738579139,2372.20,2334.30,1080
1738579198,2372.20,2334.30,1080
1738579258,2372.20,2334.30,1080
1738579319,2372.20,2334.30,1080
1738579378,2371.57,2336.25,1099
1738579439,2371.51,2332.90,1101
1738579499,2371.17,2339.60,1113
1738579559,2371.17,2339.60,1113
1738579619,2371.17,2339.60,1113
1738579673,2371.17,2339.60,1113
1738579739,2371.17,2339.60,1113
1738579799,2370.96,2344.50,1121
1738579859,2367.26,2350.00,1351
1738579919,2367.26,2350.00,1351
1738579979,2367.26,2350.00,1351
1738580039,2367.26,2350.00,1351
1738580094,2367.26,2350.00,1351
1738580158,2367.26,2350.00,1351
1738580218,2367.15,2347.45,1358
1738580278,2367.15,2347.45,1358
1738580339,2367.15,2347.45,1358
1738580399,2367.06,2344.95,1364
1738580459,2366.92,2346.30,1373
1738580519,2366.92,2346.30,1373
1738580578,2366.92,2346.30,1373
1738580638,2366.59,2344.00,1393
1738580696,2366.59,2344.00,1393
1738580758,2366.59,2344.00,1393
1738580817,2365.78,2346.00,1450
1738580879,2365.78,2346.00,1450
1738580938,2365.74,2343.85,1453
1738580998,2365.74,2343.85,1453
1738581059,2365.74,2343.85,1453
1738581116,2365.74,2343.85,1453
1738581179,2365.74,2343.85,1453
1738581238,2365.74,2343.85,1453
1738581299,2365.74,2343.85,1453
1738581359,2365.74,2343.85,1453
1738581419,2365.61,2340.05,1460
1738581478,2365.61,2340.05,1460
1738581533,2365.61,2340.05,1460
1738581599,2365.61,2340.05,1460
1738581659,2365.51,2336.45,1465
1738581719,2365.51,2336.45,1465
1738581777,2365.51,2336.45,1465
1738581838,2365.51,2336.45,1465
1738581899,2365.51,2336.45,1465
1738581958,2365.51,2336.45,1465
1738582018,2365.49,2339.50,1466
1738582079,2365.49,2339.50,1466
1738582137,2365.38,2341.00,1473
1738582197,2365.28,2336.45,1478
1738582251,2365.28,2336.45,1478
1738582318,2365.28,2336.45,1478
1738582378,2365.28,2336.45,1478
1738582439,2365.19,2339.95,1483
1738582499,2365.19,2339.95,1483
1738582551,2365.19,2339.95,1483
1738582616,2365.19,2339.95,1483
1738582671,2365.19,2339.95,1483
1738582738,2365.19,2339.95,1483
1738582799,2365.19,2339.95,1483
1738582858,2365.16,2339.40,1485
1738582919,2365.16,2339.40,1485
1738582979,2364.99,2336.45,1494
1738583039,2364.99,2336.45,1494
1738583095,2364.82,2332.25,1502
1738583156,2364.42,2331.00,1520
1738583219,2364.15,2330.00,1532
1738583279,2364.15,2330.00,1532
1738583338,2364.13,2329.15,1533
1738583399,2364.00,2325.00,1538
1738583459,2359.17,2318.45,1728
1738583519,2359.17,2318.45,1728
1738583578,2358.61,2310.00,1748
1738583637,2358.58,2310.10,1749
1738583699,2358.53,2308.60,1751
1738583759,2358.50,2308.60,1752
1738583817,2358.50,2308.60,1752
1738583878,2358.50,2308.60,1752
1738583934,2358.50,2308.60,1752
1738583999,2357.16,2300.00,1793
1738584055,2356.61,2302.35,1811
1738584116,2356.61,2302.35,1811
1738584177,2356.61,2302.35,1811
1738584237,2356.58,2302.30,1812
1738584299,2351.45,2305.00,2012
1738584356,2351.19,2301.40,2023
1738584419,2350.51,2299.95,2050
1738584478,2350.51,2299.95,2050
1738584539,2350.51,2299.95,2050
1738584598,2350.51,2299.95,2050
1738584658,2350.51,2299.95,2050
1738584719,2350.51,2299.95,2050
1738584778,2350.51,2299.95,2050
1738584839,2350.51,2299.95,2050
1738584893,2350.51,2299.95,2050
1738584959,2350.51,2299.95,2050
