t,ap,cp,v
1738573635,2902.00,2902.00,120
1738573740,2902.00,2902.00,120
1738573870,2902.00,2902.00,120
1738574159,2864.99,2845.65,896
1738574219,2861.61,2837.30,1161
1738574279,2858.75,2844.95,1413
1738574339,2857.61,2859.00,1959
1738574399,2857.06,2832.85,2100
1738574459,2855.58,2825.85,2211
1738574519,2854.26,2820.40,2302
1738574579,2853.27,2822.80,2369
1738574639,2847.73,2823.05,2898
1738574697,2847.55,2820.70,2918
1738574759,2845.04,2815.05,3115
1738574819,2844.48,2825.00,3191
1738574879,2844.04,2829.95,3278
1738574939,2843.67,2820.90,3337
1738574999,2843.53,2815.70,3357
1738575059,2842.61,2802.50,3440
1738575119,2841.91,2810.65,3513
1738575179,2841.14,2800.00,3586
1738575239,2838.84,2798.60,3782
1738575297,2838.82,2801.25,3784
1738575359,2838.47,2792.90,3814
1738575419,2837.11,2801.35,3966
1738575479,2837.05,2804.05,3973
1738575539,2836.97,2803.90,3982
1738575599,2836.62,2800.40,4022
1738575659,2836.20,2811.30,4093
1738575719,2835.88,2803.90,4145
1738575779,2832.84,2804.00,4584
1738575839,2832.61,2802.80,4621
1738575899,2832.55,2802.00,4630
1738575959,2832.43,2802.25,4650
1738576017,2832.41,2803.90,4653
1738576079,2831.15,2799.45,4838
1738576139,2830.56,2798.75,4937
1738576199,2829.75,2807.25,5083
1738576259,2829.73,2814.45,5088
1738576319,2829.45,2815.00,5188
1738576379,2828.20,2818.55,5612
1738576439,2828.16,2816.80,5632
1738576499,2828.16,2816.80,5632
1738576559,2827.92,2801.00,5682
1738576619,2827.83,2808.50,5706
1738576677,2827.79,2806.00,5716
1738576739,2827.73,2810.85,5734
1738576799,2827.71,2814.70,5742
1738576859,2827.70,2811.70,5745
1738576919,2827.65,2815.05,5766
1738576979,2827.61,2812.95,5780
1738577038,2827.47,2812.00,5834
1738577099,2827.15,2798.00,5909
1738577159,2826.75,2801.40,5993
1738577219,2826.71,2805.80,6006
1738577279,2826.45,2811.40,6111
1738577338,2826.44,2810.60,6116
1738577399,2826.36,2816.80,6154
1738577459,2826.35,2820.00,6165
1738577519,2826.30,2817.90,6202
1738577579,2824.85,2813.85,6812
1738577639,2824.81,2815.20,6830
1738577699,2824.77,2812.10,6850
1738577759,2824.68,2803.05,6882
1738577819,2824.63,2805.20,6901
1738577879,2824.61,2803.20,6906
1738577938,2824.53,2800.55,6928
1738577999,2824.49,2797.25,6940
1738578059,2824.48,2802.35,6941
1738578119,2824.33,2803.25,6986
1738578179,2824.13,2802.80,7053
1738578239,2823.86,2799.70,7127
1738578299,2823.85,2802.00,7131
1738578359,2823.83,2802.00,7135
1738578419,2823.09,2807.20,7443
1738578479,2823.09,2807.20,7443
1738578539,2823.07,2804.65,7450
1738578599,2822.85,2801.75,7532
1738578659,2822.84,2800.10,7535
1738578719,2822.78,2800.00,7556
1738578779,2822.75,2802.90,7567
1738578839,2822.74,2797.50,7569
1738578898,2822.74,2797.50,7570
1738578959,2822.34,2796.20,7679
1738579019,2821.64,2790.40,7856
1738579079,2820.87,2792.50,8045
1738579139,2820.87,2790.60,8046
1738579199,2820.87,2790.60,8046
1738579259,2820.57,2794.85,8127
1738579319,2820.46,2791.50,8160
1738579379,2820.40,2793.40,8177
1738579439,2820.37,2796.65,8188
1738579498,2820.31,2792.70,8206
1738579559,2820.05,2800.55,8313
1738579619,2820.04,2795.70,8318
1738579679,2820.04,2794.85,8319
1738579739,2819.97,2798.35,8343
1738579799,2819.66,2801.40,8482
1738579859,2819.64,2809.15,8491
1738579919,2819.57,2809.80,8567
1738579979,2819.51,2809.90,8618
1738580039,2819.51,2812.10,8619
1738580099,2819.50,2806.50,8621
1738580159,2819.43,2803.00,8662
1738580219,2819.38,2800.10,8684
1738580279,2819.38,2799.70,8685
1738580339,2819.34,2800.00,8701
1738580399,2819.34,2800.00,8701
1738580459,2819.34,2800.00,8701
1738580519,2819.34,2806.80,8702
1738580579,2819.31,2796.55,8716
1738580639,2818.95,2796.00,8856
1738580699,2818.95,2800.75,8859
1738580759,2818.93,2806.75,8871
1738580819,2818.93,2806.75,8871
1738580879,2818.92,2800.00,8872
1738580939,2818.89,2800.00,8891
1738580999,2818.88,2798.00,8893
1738581059,2818.71,2796.75,8964
1738581119,2818.69,2800.00,8975
1738581179,2818.68,2797.00,8978
1738581239,2818.67,2796.10,8982
1738581299,2818.63,2795.50,8999
1738581359,2818.56,2794.80,9025
1738581419,2818.55,2794.75,9026
1738581479,2818.55,2794.75,9026
1738581539,2818.55,2794.75,9026
1738581599,2818.52,2794.30,9038
1738581658,2818.51,2791.60,9044
1738581719,2818.21,2783.65,9134
1738581779,2817.58,2782.85,9303
1738581839,2817.58,2782.85,9303
1738581899,2817.54,2784.80,9313
1738581959,2817.14,2780.00,9414
1738582019,2817.14,2785.55,9415
1738582079,2817.14,2785.55,9415
1738582139,2816.72,2782.40,9545
1738582198,2816.47,2782.05,9615
1738582259,2815.89,2777.80,9765
1738582319,2815.75,2777.40,9801
1738582379,2815.73,2779.85,9805
1738582439,2814.96,2780.40,10005
1738582499,2814.96,2780.40,10005
1738582559,2814.94,2784.10,10010
1738582619,2814.90,2789.10,10024
1738582679,2814.88,2793.00,10037
1738582739,2814.82,2790.60,10060
1738582799,2814.82,2790.60,10060
1738582859,2814.82,2790.60,10060
1738582918,2814.70,2788.00,10104
1738582979,2814.42,2786.80,10206
1738583039,2814.10,2786.50,10321
1738583099,2814.10,2788.15,10324
1738583159,2814.10,2788.15,10324
1738583219,2813.63,2793.00,10546
1738583279,2813.59,2786.55,10565
1738583339,2813.40,2784.80,10634
1738583399,2813.39,2784.25,10637
1738583459,2813.26,2780.00,10681
1738583519,2813.21,2779.30,10695
1738583579,2813.10,2777.85,10731
1738583639,2811.21,2775.00,11293
1738583699,2811.03,2772.25,11346
1738583759,2811.02,2770.15,11350
1738583819,2810.94,2773.30,11375
1738583879,2810.93,2773.30,11378
1738583939,2809.05,2768.65,11879
1738583999,2809.05,2768.65,11879
1738584058,2808.87,2772.00,11937
1738584119,2808.80,2774.10,11960
1738584179,2808.60,2778.00,12035
1738584239,2808.57,2778.00,12046
1738584299,2808.51,2779.00,12073
1738584359,2808.50,2782.10,12074
1738584419,2808.49,2787.10,12083
1738584479,2808.49,2787.10,12083
1738584539,2808.46,2781.75,12094
1738584599,2807.89,2785.00,12397
1738584659,2807.50,2785.00,12608
1738584717,2807.48,2785.55,12623
1738584779,2807.42,2784.50,12653
1738584839,2807.42,2783.15,12654
1738584899,2807.42,2779.45,12655
1738584959,2807.42,2779.45,12655
1738585019,2807.40,2773.20,12660
1738585079,2807.37,2769.00,12672
1738585139,2807.35,2767.20,12677
1738585199,2807.06,2764.00,12765
1738585258,2806.77,2763.20,12846
1738585319,2806.65,2761.00,12880
1738585379,2806.64,2763.60,12882
1738585439,2806.53,2760.60,12915
1738585499,2806.53,2760.60,12915
1738585559,2806.30,2760.50,12982
1738585619,2806.23,2759.15,13002
1738585679,2805.54,2762.15,13219
1738585739,2805.49,2760.15,13234
1738585799,2805.49,2760.15,13234
1738585859,2805.23,2754.95,13304
1738585919,2805.02,2753.00,13360
1738585979,2804.71,2754.65,13438
1738586039,2804.58,2753.90,13471
1738586099,2804.58,2760.35,13473
1738586159,2804.55,2760.35,13481
1738586219,2804.53,2759.70,13486
1738586279,2804.53,2758.65,13487
1738586339,2804.37,2759.15,13534
1738586399,2804.37,2756.95,13535
1738586459,2804.34,2756.85,13542
1738586519,2804.34,2756.85,13542
1738586579,2804.28,2758.35,13560
1738586639,2804.21,2760.05,13581
1738586699,2804.04,2762.35,13635
1738586759,2804.02,2763.35,13643
1738586819,2803.83,2760.15,13702
1738586879,2803.82,2762.55,13704
1738586939,2802.80,2761.85,14031
1738586999,2802.59,2761.05,14105
1738587059,2802.47,2756.80,14142
1738587119,2802.47,2756.80,14142
1738587179,2802.44,2759.75,14152
1738587239,2802.34,2762.10,14185
1738587299,2802.11,2763.00,14262
1738587359,2802.11,2763.00,14262
1738587419,2802.11,2760.85,14263
1738587479,2802.10,2763.65,14266
1738587539,2802.08,2760.85,14271
1738587599,2802.06,2767.00,14280
1738587659,2802.06,2767.00,14280
1738587719,2802.06,2767.00,14280
1738587779,2802.06,2765.10,14281
1738587838,2802.02,2768.00,14297
1738587899,2802.02,2770.45,14298
1738587959,2801.77,2765.10,14405
1738588019,2801.60,2766.60,14473
1738588079,2801.60,2766.60,14473
1738588139,2801.58,2770.45,14483
1738588199,2801.51,2779.45,14521
1738588259,2801.43,2775.85,14569
1738588319,2801.43,2775.85,14569
1738588379,2801.11,2777.95,14769
1738588439,2801.11,2777.95,14769
1738588499,2801.11,2777.95,14769
1738588559,2801.11,2777.95,14769
1738588619,2801.11,2780.00,14770
1738588679,2801.11,2781.90,14771
1738588739,2801.11,2781.90,14771
1738588799,2801.11,2781.90,14771
1738588859,2801.11,2778.05,14772
1738588919,2801.11,2778.20,14775
1738588979,2801.09,2779.80,14782
1738589037,2801.02,2777.80,14832
1738589099,2801.02,2777.80,14832
1738589159,2801.00,2777.80,14842
1738589219,2801.00,2778.45,14844
1738589279,2801.00,2779.90,14845
1738589339,2801.00,2779.90,14845
1738589398,2801.00,2779.45,14846
1738589459,2800.99,2776.35,14847
1738589519,2800.93,2770.00,14879
1738589579,2800.93,2768.75,14880
1738589639,2800.92,2774.00,14885
1738589699,2800.91,2770.00,14889
1738589759,2800.86,2769.00,14915
1738589819,2800.86,2769.00,14915
1738589879,2800.86,2771.95,14916
1738589939,2800.86,2771.95,14916
1738589999,2800.81,2771.75,14941
1738590059,2800.81,2771.75,14941
1738590119,2800.81,2771.75,14941
1738590179,2800.75,2770.40,14969
1738590239,2800.71,2769.15,14989
1738590299,2800.50,2771.90,15091
1738590359,2800.50,2772.40,15093
1738590419,2800.50,2772.40,15093
1738590479,2800.49,2768.75,15095
1738590539,2800.49,2768.75,15096
1738590599,2800.17,2764.30,15237
1738590659,2800.17,2768.30,15238
1738590719,2800.14,2764.00,15249
1738590778,2799.90,2765.70,15356
1738590839,2799.90,2765.40,15357
1738590899,2799.89,2770.85,15362
1738590959,2799.88,2768.30,15367
1738591019,2799.88,2768.30,15367
1738591079,2799.88,2769.00,15368
1738591139,2799.83,2768.65,15389
1738591199,2799.83,2768.65,15389
1738591259,2799.82,2768.05,15394
1738591319,2799.82,2768.05,15394
1738591379,2799.82,2768.05,15394
1738591439,2799.69,2769.85,15459
1738591499,2799.69,2771.95,15461
1738591559,2799.60,2769.00,15507
1738591619,2799.59,2768.60,15509
1738591679,2799.58,2771.30,15515
1738591737,2799.56,2770.45,15525
1738591799,2799.55,2771.00,15534
1738591859,2799.45,2771.65,15586
1738591919,2799.45,2771.65,15586
1738591979,2799.38,2774.80,15630
1738592038,2799.37,2771.00,15638
1738592099,2799.33,2770.80,15661
1738592159,2799.33,2774.75,15662
1738592219,2799.02,2777.40,15863
1738592279,2798.93,2770.85,15913
1738592339,2798.82,2773.60,15981
1738592399,2798.77,2767.90,16011
1738592459,2798.77,2764.10,16013
1738592519,2798.72,2769.10,16035
1738592578,2798.72,2768.95,16038
1738592639,2798.72,2769.30,16039
1738592699,2798.68,2768.40,16057
1738592759,2798.68,2769.70,16058
1738592819,2798.65,2766.40,16071
1738592879,2798.56,2767.40,16121
1738592939,2798.52,2767.10,16144
1738592999,2798.50,2770.85,16155
1738593059,2798.50,2770.85,16155
1738593118,2798.49,2766.40,16159
1738593179,2798.49,2766.40,16159
1738593239,2798.44,2768.85,16187
1738593299,2798.43,2766.55,16189
1738593359,2798.41,2766.50,16199
1738593419,2798.41,2766.45,16201
1738593479,2798.40,2766.45,16205
1738593539,2798.38,2770.25,16218
1738593599,2798.37,2770.75,16224
1738593659,2798.36,2773.00,16231
1738593719,2798.34,2772.85,16240
1738593779,2798.34,2774.00,16241
1738593839,2798.34,2774.10,16243
1738593899,2798.33,2773.60,16251
1738593959,2798.28,2770.00,16278
1738594019,2798.28,2767.00,16279
1738594079,2798.24,2766.00,16298
1738594139,2798.24,2766.00,16298
1738594199,2798.21,2767.95,16313
1738594259,2798.19,2764.20,16324
1738594318,2798.19,2765.95,16325
1738594379,2798.18,2763.55,16331
1738594439,2798.18,2763.55,16331
1738594499,2798.17,2765.00,16335
1738594559,2798.15,2764.25,16343
1738594619,2798.10,2765.50,16371
1738594679,2798.06,2766.70,16388
1738594739,2798.01,2767.05,16416
1738594799,2797.98,2768.50,16433
1738594859,2797.87,2766.65,16492
1738594919,2797.87,2768.95,16493
1738594979,2797.86,2769.75,16498
1738595039,2797.85,2770.05,16504
1738595099,2797.83,2769.70,16519
1738595159,2797.77,2768.50,16554
1738595219,2797.76,2768.50,16555
1738595279,2797.76,2767.85,16559
1738595339,2797.73,2768.45,16576
1738595399,2797.68,2765.95,16602
1738595459,2797.60,2765.00,16642
1738595519,2797.54,2764.50,16674
1738595579,2797.41,2760.00,16730
1738595638,2797.31,2763.10,16775
1738595699,2797.30,2760.00,16779
1738595759,2797.06,2757.65,16885
1738595819,2796.22,2760.00,17276
1738595879,2796.14,2757.95,17312
1738595938,2796.09,2758.30,17335
1738595999,2795.59,2761.10,17580
1738596059,2795.59,2763.95,17581
1738596119,2795.59,2763.55,17583
1738596179,2795.52,2763.55,17617
1738596239,2794.76,2761.25,18017
1738596299,2794.47,2762.10,18166
1738596359,2794.47,2762.55,18169
1738596419,2794.41,2756.25,18196
1738596479,2794.29,2759.05,18258
1738596539,2794.18,2759.95,18316
1738596599,2794.12,2764.90,18348
1738596600,2794.12,2764.90,18348
1738596693,2794.12,2764.90,18348
1738597201,2794.12,2764.90,18348
1738597315,2794.11,2761.00,18350
1738597480,2794.11,2761.00,18351
1738597850,2794.11,2761.00,18351
1738598251,2794.11,2761.00,18351
1738598342,2794.11,2761.00,18351
1738598402,2794.11,2761.00,18351
1738598484,2794.11,2761.00,18351
t,ap,cp,v
1738573635,2902.00,2902.00,120
1738573740,2902.00,2902.00,120
1738573870,2902.00,2902.00,120
1738574159,2864.99,2845.65,896
1738574219,2861.61,2837.30,1161
1738574279,2858.75,2844.95,1413
1738574339,2857.61,2859.00,1959
1738574399,2857.06,2832.85,2100
1738574459,2855.58,2825.85,2211
1738574519,2854.26,2820.40,2302
1738574579,2853.27,2822.80,2369
1738574639,2847.73,2823.05,2898
1738574697,2847.55,2820.70,2918
1738574759,2845.04,2815.05,3115
1738574819,2844.48,2825.00,3191
1738574879,2844.04,2829.95,3278
1738574939,2843.67,2820.90,3337
1738574999,2843.53,2815.70,3357
1738575059,2842.61,2802.50,3440
1738575119,2841.91,2810.65,3513
1738575179,2841.14,2800.00,3586
1738575239,2838.84,2798.60,3782
1738575297,2838.82,2801.25,3784
1738575359,2838.47,2792.90,3814
1738575419,2837.11,2801.35,3966
1738575479,2837.05,2804.05,3973
1738575539,2836.97,2803.90,3982
1738575599,2836.62,2800.40,4022
1738575659,2836.20,2811.30,4093
1738575719,2835.88,2803.90,4145
1738575779,2832.84,2804.00,4584
1738575839,2832.61,2802.80,4621
1738575899,2832.55,2802.00,4630
1738575959,2832.43,2802.25,4650
1738576017,2832.41,2803.90,4653
1738576079,2831.15,2799.45,4838
1738576139,2830.56,2798.75,4937
1738576199,2829.75,2807.25,5083
1738576259,2829.73,2814.45,5088
1738576319,2829.45,2815.00,5188
1738576379,2828.20,2818.55,5612
1738576439,2828.16,2816.80,5632
1738576499,2828.16,2816.80,5632
1738576559,2827.92,2801.00,5682
1738576619,2827.83,2808.50,5706
1738576677,2827.79,2806.00,5716
1738576739,2827.73,2810.85,5734
1738576799,2827.71,2814.70,5742
1738576859,2827.70,2811.70,5745
1738576919,2827.65,2815.05,5766
1738576979,2827.61,2812.95,5780
1738577038,2827.47,2812.00,5834
1738577099,2827.15,2798.00,5909
1738577159,2826.75,2801.40,5993
1738577219,2826.71,2805.80,6006
1738577279,2826.45,2811.40,6111
1738577338,2826.44,2810.60,6116
1738577399,2826.36,2816.80,6154
1738577459,2826.35,2820.00,6165
1738577519,2826.30,2817.90,6202
1738577579,2824.85,2813.85,6812
1738577639,2824.81,2815.20,6830
1738577699,2824.77,2812.10,6850
1738577759,2824.68,2803.05,6882
1738577819,2824.63,2805.20,6901
1738577879,2824.61,2803.20,6906
1738577938,2824.53,2800.55,6928
1738577999,2824.49,2797.25,6940
1738578059,2824.48,2802.35,6941
1738578119,2824.33,2803.25,6986
1738578179,2824.13,2802.80,7053
1738578239,2823.86,2799.70,7127
1738578299,2823.85,2802.00,7131
1738578359,2823.83,2802.00,7135
1738578419,2823.09,2807.20,7443
1738578479,2823.09,2807.20,7443
1738578539,2823.07,2804.65,7450
1738578599,2822.85,2801.75,7532
1738578659,2822.84,2800.10,7535
1738578719,2822.78,2800.00,7556
1738578779,2822.75,2802.90,7567
1738578839,2822.74,2797.50,7569
1738578898,2822.74,2797.50,7570
1738578959,2822.34,2796.20,7679
1738579019,2821.64,2790.40,7856
1738579079,2820.87,2792.50,8045
1738579139,2820.87,2790.60,8046
1738579199,2820.87,2790.60,8046
1738579259,2820.57,2794.85,8127
1738579319,2820.46,2791.50,8160
1738579379,2820.40,2793.40,8177
1738579439,2820.37,2796.65,8188
1738579498,2820.31,2792.70,8206
1738579559,2820.05,2800.55,8313
1738579619,2820.04,2795.70,8318
1738579679,2820.04,2794.85,8319
1738579739,2819.97,2798.35,8343
1738579799,2819.66,2801.40,8482
1738579859,2819.64,2809.15,8491
1738579919,2819.57,2809.80,8567
1738579979,2819.51,2809.90,8618
1738580039,2819.51,2812.10,8619
1738580099,2819.50,2806.50,8621
1738580159,2819.43,2803.00,8662
1738580219,2819.38,2800.10,8684
1738580279,2819.38,2799.70,8685
1738580339,2819.34,2800.00,8701
1738580399,2819.34,2800.00,8701
1738580459,2819.34,2800.00,8701
1738580519,2819.34,2806.80,8702
1738580579,2819.31,2796.55,8716
1738580639,2818.95,2796.00,8856
1738580699,2818.95,2800.75,8859
1738580759,2818.93,2806.75,8871
