t,ap,cp,v
1738597143,121.39,121.25,1446839
1738597257,121.39,121.05,1447028
1738597316,121.39,121.05,1447028
1738597367,121.39,121.05,1447028
1738597430,121.39,121.05,1447028
1738597499,121.39,121.05,1447028
1738597558,121.39,121.05,1447128
1738597600,121.39,121.05,1447128
1738597652,121.39,121.05,1447128
1738597739,121.39,121.05,1447178
1738597768,121.39,121.05,1447179
1738597843,121.39,121.05,1447179
1738597896,121.39,121.05,1447184
1738597968,121.39,121.05,1447684
1738597998,121.39,121.05,1447684
1738598116,121.39,121.05,1447684
1738598206,121.39,121.05,1447684
1738598244,121.39,121.05,1447684
1738598299,121.39,121.05,1447684
1738598395,121.39,121.05,1447699
1738598401,121.39,121.05,1447699
1738598485,121.39,121.05,1447699
1738573663,124.35,124.35,16817
1738573706,124.35,124.35,16817
1738573744,124.35,124.35,16817
1738574073,124.35,124.35,16817
1738574159,123.42,123.05,54377
1738574219,123.40,123.20,65075
1738574279,123.35,123.15,76090
1738574339,123.28,122.60,95850
1738574399,123.23,122.80,105280
1738574459,123.18,122.65,115700
1738574519,122.98,122.00,145337
1738574579,122.93,122.05,153330
1738574639,122.89,121.75,159885
1738574699,122.86,121.80,164490
1738574759,122.77,122.00,178847
1738574819,122.72,122.45,205233
1738574879,122.68,122.20,221294
1738574939,122.68,122.20,224324
1738574999,122.64,122.15,237388
1738575059,122.59,122.05,257894
1738575119,122.58,122.05,263361
1738575179,122.54,121.65,278692
1738575239,122.45,121.35,302320
1738575299,122.43,121.20,309311
1738575359,122.30,120.85,340261
1738575419,122.23,120.65,354606
1738575479,122.20,120.55,362194
1738575539,122.13,120.40,378363
1738575599,122.05,120.10,393185
1738575659,121.99,120.40,406770
1738575719,121.97,120.40,412065
1738575779,121.96,120.90,416730
1738575839,121.94,120.95,424033
1738575899,121.93,121.25,427838
1738575959,121.91,121.45,440033
1738576016,121.91,121.75,444255
1738576079,121.91,121.55,449438
1738576139,121.90,121.55,454218
1738576199,121.90,121.25,457556
1738576259,121.89,121.60,464546
1738576319,121.88,121.45,470671
1738576379,121.88,121.20,473394
1738576439,121.88,121.20,475363
1738576499,121.88,121.40,476891
1738576559,121.87,121.45,479804
1738576619,121.87,121.65,480989
1738576679,121.87,121.40,483744
1738576739,121.85,121.25,496996
1738576799,121.85,121.25,499027
1738576859,121.85,121.30,501562
1738576919,121.85,121.60,507728
1738576979,121.84,121.60,511688
1738577039,121.84,121.70,513116
1738577099,121.84,121.60,516539
1738577159,121.84,121.40,524640
1738577219,121.84,121.75,526224
1738577279,121.84,121.70,530983
1738577338,121.83,121.90,533735
1738577399,121.83,121.60,536273
1738577459,121.83,121.80,541278
1738577519,121.83,122.00,545696
1738577579,121.83,121.85,551082
1738577639,121.83,121.80,553843
1738577699,121.83,121.65,555890
1738577759,121.83,121.50,561991
1738577819,121.83,121.55,562649
1738577879,121.83,121.60,564283
1738577939,121.83,121.40,566958
1738577999,121.83,121.50,570729
1738578059,121.82,121.55,572451
1738578119,121.82,121.85,575562
1738578179,121.82,121.75,577829
1738578239,121.82,121.65,582332
1738578299,121.82,121.65,583384
1738578359,121.82,121.75,585443
1738578419,121.82,121.70,586839
1738578479,121.82,121.80,590665
1738578539,121.82,121.70,592158
1738578599,121.82,121.70,595538
1738578659,121.82,121.70,607186
1738578719,121.82,121.95,608558
1738578779,121.82,121.75,610216
1738578839,121.82,121.85,611333
1738578898,121.82,122.00,616232
1738578959,121.82,121.90,618685
1738579019,121.82,122.10,619898
1738579079,121.82,122.15,622245
1738579139,121.82,122.00,626080
1738579199,121.82,121.85,627515
1738579259,121.82,121.90,629425
1738579319,121.82,122.00,637930
1738579379,121.82,122.05,639258
1738579439,121.82,122.20,640396
1738579499,121.82,122.15,641747
1738579559,121.82,122.20,644354
1738579619,121.83,122.35,648532
1738579679,121.83,122.00,650816
1738579739,121.83,121.95,652975
1738579799,121.83,121.85,655194
1738579859,121.83,121.85,656352
1738579919,121.82,121.55,663500
1738579979,121.82,121.50,666002
1738580039,121.82,121.50,667725
1738580099,121.82,121.65,669296
1738580159,121.82,121.75,670357
1738580219,121.82,121.85,671315
1738580279,121.82,122.05,673275
1738580339,121.82,122.00,679517
1738580399,121.82,122.10,680970
1738580459,121.82,122.10,682670
1738580519,121.83,122.00,683732
1738580579,121.83,122.15,689098
1738580639,121.83,122.15,694924
1738580699,121.83,122.30,698627
1738580759,121.83,122.20,699415
1738580819,121.83,122.40,704413
1738580879,121.84,122.35,705623
1738580939,121.84,122.30,706452
1738580999,121.84,122.30,708698
1738581059,121.84,122.35,711921
1738581119,121.84,122.40,712249
1738581179,121.84,122.20,714345
1738581239,121.84,122.35,714925
1738581299,121.84,122.25,716438
1738581359,121.84,122.30,718746
1738581419,121.84,122.35,719612
1738581479,121.85,122.25,721977
1738581539,121.85,122.15,723830
1738581599,121.85,122.15,725287
1738581659,121.85,122.35,727553
1738581719,121.85,122.25,727961
1738581779,121.85,122.10,737332
1738581839,121.85,122.05,738768
1738581899,121.85,122.20,739233
1738581959,121.85,122.25,740216
1738582019,121.85,122.30,743887
1738582079,121.86,121.95,751918
1738582139,121.86,122.00,753965
1738582198,121.86,121.90,755095
1738582259,121.86,121.85,760457
1738582319,121.86,121.90,760882
1738582379,121.86,121.95,762701
1738582439,121.86,121.85,763928
1738582499,121.86,121.60,765128
1738582559,121.86,121.65,765754
1738582619,121.86,121.60,766988
1738582679,121.85,121.40,776444
1738582739,121.85,121.30,780876
1738582799,121.85,121.30,782129
1738582859,121.84,121.15,788612
1738582919,121.84,121.15,789255
1738582979,121.84,121.45,791189
1738583039,121.84,121.45,791607
1738583099,121.84,121.55,794655
1738583159,121.84,121.50,794940
1738583219,121.84,121.50,796392
1738583279,121.84,121.50,797362
1738583339,121.84,121.65,798524
1738583399,121.84,121.55,799419
1738583459,121.84,121.55,801727
1738583519,121.84,121.55,802266
1738583579,121.84,121.50,802887
1738583639,121.84,121.50,803739
1738583699,121.83,121.50,805800
1738583759,121.83,121.40,806415
1738583819,121.83,121.45,808255
1738583879,121.83,121.40,809186
1738583939,121.83,121.30,815110
1738583999,121.83,121.50,815756
1738584059,121.83,121.45,819130
1738584119,121.83,121.45,819980
1738584179,121.83,121.50,820287
1738584239,121.83,121.40,821872
1738584299,121.83,121.40,822782
1738584359,121.82,121.35,824119
1738584419,121.82,121.30,825848
1738584479,121.82,121.30,826356
1738584539,121.82,121.25,827702
1738584599,121.82,121.25,828286
1738584659,121.82,121.20,830000
1738584719,121.82,121.25,830555
1738584779,121.82,121.25,831879
1738584839,121.81,121.30,839839
1738584899,121.81,121.25,841679
1738584959,121.81,121.20,843673
1738585019,121.81,121.25,843988
1738585079,121.81,121.20,844421
1738585139,121.81,121.15,847717
1738585199,121.80,121.10,851729
1738585259,121.77,121.00,889585
1738585319,121.77,121.00,890331
1738585379,121.77,121.05,890731
1738585439,121.76,120.90,895445
1738585499,121.75,120.85,907531
1738585559,121.75,120.90,908717
1738585619,121.74,120.80,917496
1738585679,121.74,121.00,918112
1738585739,121.74,121.00,919265
1738585799,121.74,120.80,921592
1738585859,121.74,120.85,922910
1738585919,121.73,121.00,925458
1738585979,121.73,121.00,926394
1738586039,121.73,120.90,928422
1738586099,121.73,120.95,930857
1738586159,121.73,120.85,932082
1738586219,121.73,120.90,933819
1738586279,121.73,120.80,934982
1738586339,121.72,120.80,935697
1738586399,121.72,120.90,936880
1738586459,121.72,120.90,937660
1738586519,121.72,120.70,940810
1738586579,121.72,120.60,944452
1738586639,121.69,120.50,962553
1738586699,121.69,120.50,964432
1738586759,121.69,120.45,965345
1738586819,121.68,120.50,968743
1738586879,121.68,120.45,971676
1738586939,121.68,120.35,974539
1738586999,121.66,120.30,984967
1738587059,121.66,120.30,987838
1738587119,121.66,120.30,990228
1738587179,121.64,120.20,997955
1738587239,121.64,120.20,998594
1738587299,121.64,120.15,1001559
1738587359,121.64,120.20,1003293
1738587419,121.63,120.25,1004745
1738587479,121.63,120.30,1006090
1738587539,121.63,120.40,1007258
1738587599,121.63,120.45,1009590
1738587659,121.62,120.35,1011998
1738587719,121.62,120.25,1018059
1738587779,121.61,120.30,1019200
1738587839,121.61,120.50,1025083
1738587899,121.61,120.45,1026440
1738587959,121.60,120.30,1028571
1738588019,121.60,120.30,1029581
1738588079,121.60,120.50,1029914
1738588139,121.60,120.50,1033534
1738588199,121.60,120.70,1036231
1738588259,121.59,120.60,1040214
1738588319,121.59,120.50,1042441
1738588379,121.59,120.50,1042989
1738588439,121.59,120.65,1045199
1738588499,121.59,120.60,1045681
1738588559,121.58,120.60,1049948
1738588619,121.58,120.70,1051347
1738588679,121.58,120.70,1053407
1738588739,121.58,120.65,1059160
1738588799,121.57,120.50,1061530
1738588859,121.57,120.60,1061838
1738588919,121.57,120.55,1063991
1738588979,121.57,120.55,1065468
1738589036,121.57,120.60,1065871
1738589099,121.57,120.55,1067298
1738589159,121.57,120.45,1069145
1738589219,121.56,120.50,1070975
1738589279,121.56,120.50,1071579
1738589339,121.56,120.50,1074774
1738589399,121.56,120.60,1075180
1738589459,121.56,120.70,1075937
1738589519,121.56,120.65,1076399
1738589579,121.56,120.70,1077954
1738589639,121.56,120.70,1079212
1738589699,121.55,120.85,1091282
1738589759,121.55,120.85,1091788
1738589819,121.55,120.90,1092195
1738589879,121.54,120.85,1092755
1738589939,121.54,120.85,1093148
1738589999,121.54,120.80,1093503
1738590059,121.54,120.95,1093824
1738590119,121.54,120.95,1095885
1738590179,121.54,120.95,1097224
1738590239,121.54,120.85,1099489
1738590298,121.54,120.95,1099937
1738590359,121.54,120.90,1101778
1738590419,121.54,120.90,1103015
1738590479,121.54,120.95,1103954
1738590539,121.54,120.90,1104900
1738590599,121.54,120.90,1105805
1738590659,121.54,120.90,1107866
1738590719,121.53,120.85,1110559
1738590779,121.53,120.65,1116911
1738590839,121.53,120.70,1118149
1738590899,121.53,120.70,1120286
1738590959,121.52,120.70,1122513
1738591019,121.52,120.65,1124223
1738591079,121.52,120.50,1128666
1738591139,121.52,120.50,1129581
1738591199,121.52,120.55,1130188
1738591259,121.52,120.55,1131303
1738591319,121.52,120.50,1132050
1738591379,121.52,120.60,1133038
1738591439,121.52,120.60,1133463
1738591499,121.51,120.65,1133794
1738591559,121.51,120.70,1134783
1738591619,121.51,120.75,1135408
1738591679,121.51,120.80,1135623
1738591739,121.51,120.80,1139425
1738591799,121.51,120.80,1140415
1738591859,121.51,120.70,1145151
1738591919,121.50,120.75,1148989
1738591979,121.50,120.90,1154082
1738592039,121.50,120.80,1154691
1738592099,121.50,120.80,1155169
1738592159,121.50,120.90,1161351
1738592219,121.50,120.85,1161981
1738592279,121.50,120.85,1162300
1738592339,121.50,120.85,1162827
1738592399,121.49,120.80,1163495
1738592459,121.49,120.75,1164226
1738592519,121.49,120.75,1165013
1738592579,121.49,120.75,1167188
1738592639,121.49,120.70,1173820
1738592699,121.48,120.65,1180406
1738592759,121.48,120.60,1182115
1738592819,121.48,120.65,1183293
1738592879,121.48,120.65,1184859
1738592939,121.47,120.90,1205595
1738592999,121.46,120.95,1223563
1738593059,121.46,120.90,1233152
1738593119,121.46,121.00,1234129
1738593179,121.46,120.95,1239894
1738593239,121.45,121.00,1241184
1738593299,121.45,121.00,1242968
1738593359,121.45,121.00,1246596
1738593419,121.45,121.10,1249667
1738593479,121.45,121.00,1251522
1738593539,121.45,121.10,1253328
1738593599,121.45,121.00,1255106
1738593659,121.45,121.05,1256869
1738593719,121.45,120.95,1262860
1738593779,121.45,120.95,1263121
1738593839,121.45,120.90,1266215
1738593899,121.44,121.05,1268978
1738593959,121.44,121.10,1269145
1738594019,121.44,121.05,1271637
1738594079,121.44,121.05,1273634
1738594139,121.44,120.85,1278776
1738594199,121.44,120.80,1280752
1738594259,121.44,120.80,1286077
1738594319,121.44,120.90,1287260
1738594379,121.44,120.85,1289345
1738594439,121.44,120.85,1291109
1738594499,121.43,120.85,1294942
1738594559,121.43,120.90,1296138
1738594619,121.43,121.00,1299189
1738594679,121.43,121.00,1299550
1738594739,121.43,121.00,1301682
1738594799,121.43,120.90,1302936
1738594859,121.43,121.10,1306904
1738594919,121.43,121.10,1310141
1738594979,121.43,121.10,1313097
1738595039,121.43,121.15,1316271
1738595099,121.43,121.05,1317923
1738595159,121.43,121.15,1321382
1738595219,121.42,121.15,1321994
1738595279,121.42,121.10,1328378
1738595339,121.42,121.00,1333369
1738595399,121.42,121.15,1346591
1738595459,121.42,120.90,1348456
1738595519,121.42,120.90,1349670
1738595579,121.41,120.90,1356324
1738595638,121.41,121.00,1358941
1738595699,121.41,120.95,1364873
1738595759,121.41,120.80,1373690
1738595819,121.41,120.80,1375662
1738595879,121.41,120.80,1376663
1738595939,121.40,120.90,1382953
1738595999,121.40,121.00,1390258
1738596059,121.40,121.10,1403658
1738596119,121.40,121.20,1406977
1738596179,121.40,121.20,1409051
1738596239,121.40,121.20,1414299
1738596298,121.40,121.20,1419514
1738596359,121.40,121.20,1420417
1738596419,121.39,121.20,1425091
1738596479,121.39,121.20,1429493
1738596539,121.39,121.30,1431713
1738596599,121.39,121.35,1446814
1738596655,121.39,121.25,1446839
1738596686,121.39,121.25,1446839
1738596762,121.39,121.25,1446839
1738596835,121.39,121.25,1446839
1738596858,121.39,121.25,1446839
1738596950,121.39,121.25,1446839
1738596981,121.39,121.25,1446839
1738597098,121.39,121.25,1446839
1738597143,121.39,121.25,1446839
1738597257,121.39,121.05,1447028
1738597316,121.39,121.05,1447028
1738597367,121.39,121.05,1447028
1738597430,121.39,121.05,1447028
1738597499,121.39,121.05,1447028
1738597558,121.39,121.05,1447128
1738597600,121.39,121.05,1447128
1738597652,121.39,121.05,1447128
1738597739,121.39,121.05,1447178
1738597768,121.39,121.05,1447179
1738597843,121.39,121.05,1447179
1738597896,121.39,121.05,1447184
1738597968,121.39,121.05,1447684
1738597998,121.39,121.05,1447684
1738598116,121.39,121.05,1447684
1738598206,121.39,121.05,1447684
1738598244,121.39,121.05,1447684
1738598299,121.39,121.05,1447684
1738598395,121.39,121.05,1447699
1738598401,121.39,121.05,1447699
1738598485,121.39,121.05,1447699
