t,ap,cp,v
1738573682,759.70,759.70,690
1738573740,759.70,759.70,690
1738574159,748.01,741.70,2828
1738574219,746.45,736.35,3577
1738574279,743.30,736.65,5094
1738574339,740.62,737.95,8298
1738574399,739.96,737.55,10479
1738574459,739.48,735.70,11974
1738574519,739.28,737.90,12964
1738574579,739.32,739.70,13689
1738574639,739.34,741.80,13847
1738574699,739.39,741.40,14126
1738574759,739.53,743.35,14934
1738574819,740.11,746.00,16650
1738574879,740.85,748.35,18465
1738574939,741.64,746.55,21020
1738574999,741.70,746.10,21335
1738575059,741.83,744.40,22256
1738575119,741.84,744.30,22372
1738575179,741.87,745.00,22544
1738575239,741.88,743.80,22601
1738575299,741.90,743.30,23064
1738575359,741.90,742.00,23461
1738575419,741.86,741.55,24436
1738575479,741.81,741.60,25623
1738575539,741.78,740.65,26071
1738575599,741.76,739.20,26257
1738575659,741.76,740.05,26298
1738575719,741.75,739.75,26475
1738575779,741.75,741.60,26627
1738575839,741.75,742.50,26761
1738575899,741.75,742.25,26776
1738575959,741.75,740.60,26878
1738576019,741.73,742.00,27474
1738576079,741.74,743.60,27694
1738576139,741.76,742.35,28054
1738576199,741.74,740.85,28335
1738576259,741.74,742.40,28558
1738576319,741.75,742.90,29286
1738576379,741.74,741.00,29484
1738576439,741.73,741.80,29719
1738576499,741.73,741.60,29736
1738576559,741.73,742.20,29786
1738576619,741.74,742.35,29975
1738576679,741.74,740.95,30083
1738576739,741.70,739.10,30493
1738576799,741.70,741.15,30551
1738576859,741.70,739.85,30613
1738576919,741.70,742.00,30665
1738576979,741.70,741.00,30669
1738577039,741.69,741.75,30878
1738577099,741.69,740.30,30950
1738577159,741.69,742.00,31120
1738577219,741.69,741.70,31181
1738577279,741.69,743.00,31322
1738577339,741.70,742.90,31554
1738577399,741.70,742.90,31554
1738577459,741.70,744.60,31602
1738577518,741.78,744.20,32645
1738577579,741.82,743.95,33127
1738577639,741.84,745.25,33356
1738577698,741.85,742.60,33387
1738577759,741.85,741.75,33420
1738577819,741.85,742.80,33760
1738577879,741.87,743.10,34190
1738577939,741.87,742.60,34193
1738577999,741.87,743.25,34250
1738578059,741.87,743.00,34313
1738578119,741.87,742.40,34350
1738578179,741.87,742.80,34353
1738578239,741.89,743.65,34660
1738578299,741.89,743.00,34700
1738578358,741.89,743.90,34741
1738578419,741.91,744.00,35082
1738578478,741.91,743.15,35105
1738578539,741.91,743.65,35120
1738578599,741.91,744.40,35235
1738578659,741.94,743.85,35601
1738578719,741.94,745.50,35620
1738578779,741.94,744.10,35660
1738578839,741.95,743.50,35811
1738578899,741.95,743.50,35811
1738578959,741.98,745.95,36067
1738579019,741.98,745.25,36140
1738579079,741.98,744.85,36152
1738579139,741.98,744.00,36195
1738579199,741.98,743.30,36210
1738579259,741.99,744.10,36243
1738579319,741.99,744.10,36271
1738579379,742.03,745.00,36762
1738579439,742.03,745.65,36794
1738579498,742.04,745.00,36917
1738579559,742.05,745.95,36981
1738579618,742.08,746.95,37243
1738579679,742.16,747.20,37805
1738579739,742.21,747.00,38127
1738579799,742.22,747.15,38181
1738579859,742.22,746.20,38192
1738579918,742.22,745.60,38197
1738579979,742.22,745.75,38202
1738580039,742.31,745.65,39248
1738580099,742.31,743.65,39322
1738580159,742.32,745.55,39342
1738580219,742.32,746.45,39353
1738580279,742.32,746.45,39353
1738580338,742.34,746.85,39591
1738580399,742.37,748.65,39751
1738580459,742.37,748.00,39785
1738580519,742.43,749.55,40152
1738580578,742.49,749.95,40473
1738580639,742.49,749.95,40473
1738580699,742.49,749.85,40487
1738580759,742.51,748.95,40599
1738580819,742.58,750.00,40959
1738580879,742.60,749.85,41086
1738580939,742.63,750.85,41220
1738580999,742.64,750.95,41284
1738581059,742.66,751.15,41403
1738581119,742.66,751.55,41404
1738581179,742.69,750.75,41543
1738581239,742.69,751.00,41544
1738581299,742.80,751.00,42156
1738581359,742.89,752.90,42575
1738581419,742.90,752.40,42595
1738581478,742.90,752.65,42605
1738581537,742.93,752.40,42758
1738581599,743.18,751.85,43968
1738581659,743.18,751.85,43968
1738581719,743.19,751.10,44002
1738581779,743.19,750.45,44012
1738581839,743.19,750.00,44026
1738581899,743.20,750.05,44091
1738581959,743.60,748.70,47221
1738582019,743.60,748.70,47221
1738582079,743.60,748.35,47237
1738582139,743.61,747.75,47288
1738582199,743.61,747.00,47379
1738582259,743.62,746.95,47403
1738582319,743.62,746.80,47404
1738582379,743.65,746.30,47894
1738582439,743.65,746.30,47894
1738582499,743.68,746.05,48929
1738582559,743.68,744.85,48960
1738582619,743.68,745.05,49059
1738582679,743.68,744.20,49192
1738582739,743.68,744.20,49192
1738582799,743.68,743.50,49200
1738582859,743.68,742.25,49272
1738582919,743.68,742.75,49383
1738582979,743.67,741.85,49767
1738583038,743.67,742.45,49772
1738583099,743.67,743.00,49776
1738583159,743.67,743.00,49776
1738583219,743.67,743.15,49788
1738583279,743.70,744.45,52983
1738583339,743.70,744.45,52992
1738583399,743.70,744.00,53042
1738583459,743.68,740.85,54031
1738583517,743.68,741.10,54048
1738583579,743.67,740.95,54079
1738583639,743.67,740.40,54092
1738583699,743.67,740.65,54183
1738583759,743.66,741.15,54313
1738583819,743.66,741.80,54314
1738583879,743.66,742.35,54335
1738583939,743.66,742.35,54335
1738583999,743.66,743.10,54355
1738584059,743.66,743.00,54455
1738584119,743.66,743.10,54556
1738584179,743.66,744.00,54561
1738584236,743.66,743.50,54586
1738584299,743.66,744.90,54626
1738584359,743.66,743.50,54627
1738584419,743.66,743.20,54650
1738584478,743.66,743.75,54651
1738584539,743.66,743.75,54651
1738584599,743.66,743.90,54658
1738584659,743.66,743.90,54658
1738584719,743.66,744.15,54662
1738584779,743.66,744.15,54662
1738584838,743.66,744.10,54663
1738584899,743.66,744.00,54673
1738584959,743.66,743.80,54693
1738585019,743.66,743.10,54697
1738585078,743.66,743.45,54746
1738585139,743.66,743.35,54762
1738585199,743.65,742.05,54779
1738585259,743.65,742.10,54830
1738585319,743.65,742.85,54834
1738585379,743.65,742.85,54834
1738585439,743.65,743.50,54903
1738585499,743.65,743.50,54908
1738585557,743.65,743.00,54926
1738585619,743.65,743.00,54926
1738585679,743.65,744.30,54930
1738585739,743.66,744.40,55132
1738585798,743.64,743.75,56603
1738585859,743.64,743.75,56603
1738585919,743.64,742.85,56604
1738585977,743.64,742.85,56604
1738586039,743.64,743.05,56609
1738586099,743.64,743.20,56817
1738586158,743.64,743.00,56822
1738586219,743.64,741.25,56827
1738586279,743.64,741.25,56827
1738586339,743.64,740.30,56832
1738586399,743.64,740.10,56931
1738586458,743.63,741.60,56957
1738586516,743.63,741.60,56957
1738586579,743.63,741.10,56967
1738586639,743.63,740.20,56973
1738586699,743.59,739.15,57561
1738586759,743.59,739.35,57582
1738586819,743.59,739.35,57582
1738586879,743.53,739.25,58388
1738586939,743.53,739.75,58400
1738586999,743.52,739.00,58425
1738587059,743.52,739.45,58428
1738587119,743.52,739.30,58438
1738587179,743.52,739.00,58458
1738587239,743.51,738.50,58564
1738587299,743.51,738.50,58564
1738587359,743.51,737.70,58635
1738587419,743.50,738.30,58674
1738587479,743.50,739.10,58690
1738587537,743.50,739.35,58768
1738587598,743.50,739.35,58783
1738587659,743.49,740.95,58793
1738587718,743.49,740.95,58843
1738587778,743.49,740.70,58853
1738587838,743.49,743.80,59037
1738587899,743.49,743.90,59077
1738587959,743.49,743.00,59092
1738588019,743.49,741.80,59102
1738588079,743.49,742.75,59107
1738588139,743.49,743.00,59137
1738588198,743.49,744.25,59175
1738588259,743.49,743.15,59178
1738588319,743.49,743.15,59178
1738588379,743.49,743.55,59228
1738588439,743.49,745.50,59268
1738588499,743.49,746.55,59339
1738588559,743.49,746.30,59344
1738588619,743.50,746.15,59370
1738588679,743.53,747.45,59915
1738588739,743.53,746.60,59926
1738588799,743.53,745.50,59931
1738588859,743.53,745.65,60004
1738588919,743.54,745.65,60194
1738588979,743.54,745.05,60206
1738589039,743.54,744.75,60267
1738589099,743.54,744.75,60267
1738589159,743.54,744.80,60289
1738589219,743.54,742.00,60352
1738589279,743.54,742.00,60352
1738589339,743.54,741.10,60383
1738589399,743.54,741.60,60386
1738589459,743.54,743.30,60436
1738589519,743.53,742.85,60681
1738589579,743.53,743.80,60691
1738589639,743.55,744.10,61946
1738589699,743.55,744.70,61949
1738589759,743.55,745.25,61966
1738589819,743.55,743.85,62433
1738589879,743.55,743.85,62433
1738589939,743.55,744.35,62438
1738589999,743.55,744.65,62447
1738590059,743.55,745.40,62521
1738590119,743.55,745.90,62621
1738590179,743.55,745.10,62630
1738590239,743.57,744.95,62995
1738590299,743.57,745.30,63053
1738590359,743.57,745.80,63070
1738590419,743.57,746.05,63089
1738590479,743.58,747.45,63252
1738590539,743.58,747.15,63304
1738590599,743.58,746.90,63319
1738590659,743.58,746.85,63359
1738590719,743.58,746.25,63368
1738590779,743.59,745.00,63503
1738590839,743.61,744.50,64514
1738590899,743.61,745.05,64650
1738590958,743.61,744.55,64735
1738591019,743.62,744.55,64844
1738591079,743.62,744.25,64944
1738591139,743.62,744.25,64944
1738591199,743.62,743.40,64959
1738591259,743.62,744.25,64961
1738591319,743.62,744.90,65061
1738591379,743.62,744.25,65067
1738591439,743.62,744.25,65067
1738591499,743.62,744.25,65067
1738591559,743.62,745.70,65076
1738591619,743.62,745.05,65093
1738591679,743.62,745.10,65104
1738591739,743.62,746.15,65114
1738591799,743.62,746.10,65183
1738591859,743.62,746.10,65193
1738591919,743.62,746.10,65193
1738591979,743.63,747.00,65298
1738592039,743.63,747.50,65300
1738592099,743.63,746.90,65407
1738592159,743.64,747.20,65502
1738592219,743.64,747.60,65517
1738592279,743.64,747.30,65527
1738592339,743.64,746.60,65541
1738592399,743.64,746.60,65541
1738592459,743.64,746.45,65550
1738592519,743.65,745.45,65751
1738592579,743.65,745.45,65751
1738592639,743.65,745.75,65755
1738592698,743.65,745.95,65760
1738592759,743.66,746.55,66004
1738592819,743.66,746.55,66005
1738592879,743.66,746.55,66010
1738592939,743.66,746.40,66013
1738592999,743.66,747.00,66015
1738593057,743.66,746.00,66141
1738593119,743.67,745.40,66265
1738593179,743.67,745.30,66365
1738593239,743.67,745.30,66365
1738593299,743.67,745.30,66365
1738593359,743.67,747.05,66367
1738593419,743.67,747.00,66380
1738593479,743.67,747.00,66380
1738593538,743.67,746.00,66394
1738593597,743.67,746.00,66394
1738593659,743.68,746.85,66500
1738593719,743.68,746.35,66503
1738593779,743.68,745.55,66523
1738593839,743.68,745.80,66703
1738593899,743.68,745.80,66703
1738593959,743.68,746.00,66743
1738594018,743.68,746.00,66743
1738594079,743.68,745.80,66759
1738594139,743.69,744.25,66839
1738594199,743.69,743.90,67190
1738594259,743.69,744.25,67191
1738594319,743.69,744.80,67345
1738594379,743.69,744.80,67345
1738594439,743.69,744.80,67347
1738594498,743.69,745.20,67387
1738594559,743.69,745.20,67409
1738594617,743.69,744.45,67460
1738594677,743.70,746.45,67602
1738594739,743.70,746.95,67622
1738594799,743.71,747.25,67782
1738594859,743.72,748.00,67965
1738594919,743.72,747.10,68103
1738594979,743.74,747.45,68386
1738595039,743.74,748.65,68445
1738595099,743.74,748.55,68475
1738595159,743.74,748.55,68475
1738595219,743.76,748.00,68780
1738595279,743.79,748.65,69160
1738595339,743.79,748.05,69165
1738595397,743.81,748.70,69426
1738595459,744.04,750.15,72045
1738595519,744.04,749.65,72048
1738595579,744.04,749.65,72048
1738595639,744.05,750.70,72149
1738595699,744.05,749.65,72215
1738595759,744.06,749.15,72332
1738595819,744.06,748.90,72353
1738595877,744.07,748.50,72451
1738595939,744.07,747.70,72552
1738595999,744.07,748.45,72558
1738596057,744.08,747.55,72683
1738596119,744.08,747.30,72690
1738596179,744.09,746.80,72840
1738596239,744.11,746.85,73277
1738596299,744.11,746.75,73429
1738596359,744.11,746.15,73489
1738596419,744.12,746.95,73516
1738596479,744.12,746.75,73616
1738596539,744.12,746.70,73626
1738596598,744.12,746.75,73676
1738596600,744.12,746.75,73676
1738596679,744.12,746.75,73676
1738596942,744.12,746.75,73676
1738597201,744.12,746.75,73676
1738597619,744.12,746.75,73676
1738597672,744.12,746.75,73676
1738597687,744.12,746.75,73676
1738598174,744.12,748.90,73677
1738598402,744.12,748.90,73677
1738598488,744.12,748.90,73677
t,ap,cp,v
1738573682,759.70,759.70,690
1738573740,759.70,759.70,690
1738574159,748.01,741.70,2828
1738574219,746.45,736.35,3577
1738574279,743.30,736.65,5094
1738574339,740.62,737.95,8298
1738574399,739.96,737.55,10479
1738574459,739.48,735.70,11974
1738574519,739.28,737.90,12964
1738574579,739.32,739.70,13689
1738574639,739.34,741.80,13847
1738574699,739.39,741.40,14126
1738574759,739.53,743.35,14934
1738574819,740.11,746.00,16650
1738574879,740.85,748.35,18465
1738574939,741.64,746.55,21020
1738574999,741.70,746.10,21335
1738575059,741.83,744.40,22256
1738575119,741.84,744.30,22372
1738575179,741.87,745.00,22544
1738575239,741.88,743.80,22601
1738575299,741.90,743.30,23064
1738575359,741.90,742.00,23461
1738575419,741.86,741.55,24436
1738575479,741.81,741.60,25623
1738575539,741.78,740.65,26071
1738575599,741.76,739.20,26257
1738575659,741.76,740.05,26298
1738575719,741.75,739.75,26475
1738575779,741.75,741.60,26627
1738575839,741.75,742.50,26761
1738575899,741.75,742.25,26776
1738575959,741.75,740.60,26878
1738576019,741.73,742.00,27474
1738576079,741.74,743.60,27694
1738576139,741.76,742.35,28054
1738576199,741.74,740.85,28335
1738576259,741.74,742.40,28558
1738576319,741.75,742.90,29286
1738576379,741.74,741.00,29484
1738576439,741.73,741.80,29719
1738576499,741.73,741.60,29736
1738576559,741.73,742.20,29786
1738576619,741.74,742.35,29975
1738576679,741.74,740.95,30083
1738576739,741.70,739.10,30493
1738576799,741.70,741.15,30551
1738576859,741.70,739.85,30613
1738576919,741.70,742.00,30665
1738576979,741.70,741.00,30669
1738577039,741.69,741.75,30878
1738577099,741.69,740.30,30950
1738577159,741.69,742.00,31120
1738577219,741.69,741.70,31181
1738577279,741.69,743.00,31322
1738577339,741.70,742.90,31554
1738577399,741.70,742.90,31554
1738577459,741.70,744.60,31602
1738577518,741.78,744.20,32645
1738577579,741.82,743.95,33127
1738577639,741.84,745.25,33356
1738577698,741.85,742.60,33387
1738577759,741.85,741.75,33420
1738577819,741.85,742.80,33760
1738577879,741.87,743.10,34190
1738577939,741.87,742.60,34193
1738577999,741.87,743.25,34250
1738578059,741.87,743.00,34313
1738578119,741.87,742.40,34350
1738578179,741.87,742.80,34353
1738578239,741.89,743.65,34660
1738578299,741.89,743.00,34700
1738578358,741.89,743.90,34741
1738578419,741.91,744.00,35082
1738578478,741.91,743.15,35105
1738578539,741.91,743.65,35120
1738578599,741.91,744.40,35235
1738578659,741.94,743.85,35601
1738578719,741.94,745.50,35620
1738578779,741.94,744.10,35660
1738578839,741.95,743.50,35811
1738578899,741.95,743.50,35811
1738578959,741.98,745.95,36067
1738579019,741.98,745.25,36140
1738579079,741.98,744.85,36152
1738579139,741.98,744.00,36195
1738579199,741.98,743.30,36210
1738579259,741.99,744.10,36243
1738579319,741.99,744.10,36271
1738579379,742.03,745.00,36762
1738579439,742.03,745.65,36794
1738579498,742.04,745.00,36917
1738579559,742.05,745.95,36981
1738579618,742.08,746.95,37243
1738579679,742.16,747.20,37805
1738579739,742.21,747.00,38127
1738579799,742.22,747.15,38181
1738579859,742.22,746.20,38192
1738579918,742.22,745.60,38197
1738579979,742.22,745.75,38202
1738580039,742.31,745.65,39248
1738580099,742.31,743.65,39322
1738580159,742.32,745.55,39342
1738580219,742.32,746.45,39353
1738580279,742.32,746.45,39353
1738580338,742.34,746.85,39591
1738580399,742.37,748.65,39751
1738580459,742.37,748.00,39785
1738580519,742.43,749.55,40152
1738580578,742.49,749.95,40473
1738580639,742.49,749.95,40473
1738580699,742.49,749.85,40487
1738580759,742.51,748.95,40599
1738580819,742.58,750.00,40959
1738580879,742.60,749.85,41086
1738580939,742.63,750.85,41220
1738580999,742.64,750.95,41284
1738581059,742.66,751.15,41403
1738581119,742.66,751.55,41404
1738581179,742.69,750.75,41543
1738581239,742.69,751.00,41544
1738581299,742.80,751.00,42156
1738581359,742.89,752.90,42575
1738581419,742.90,752.40,42595
1738581478,742.90,752.65,42605
1738581537,742.93,752.40,42758
1738581599,743.18,751.85,43968
1738581659,743.18,751.85,43968
1738581719,743.19,751.10,44002
1738581779,743.19,750.45,44012
1738581839,743.19,750.00,44026
1738581899,743.20,750.05,44091
1738581959,743.60,748.70,47221
1738582019,743.60,748.70,47221
1738582079,743.60,748.35,47237
1738582139,743.61,747.75,47288
1738582199,743.61,747.00,47379
1738582259,743.62,746.95,47403
1738582319,743.62,746.80,47404
1738582379,743.65,746.30,47894
1738582439,743.65,746.30,47894
1738582499,743.68,746.05,48929
1738582559,743.68,744.85,48960
1738582619,743.68,745.05,49059
1738582679,743.68,744.20,49192
1738582739,743.68,744.20,49192
1738582799,743.68,743.50,49200
1738582859,743.68,742.25,49272
1738582919,743.68,742.75,49383
1738582979,743.67,741.85,49767
1738583038,743.67,742.45,49772
1738583099,743.67,743.00,49776
1738583159,743.67,743.00,49776
1738583219,743.67,743.15,49788
1738583279,743.70,744.45,52983
1738583339,743.70,744.45,52992
1738583399,743.70,744.00,53042
1738583459,743.68,740.85,54031
1738583517,743.68,741.10,54048
1738583579,743.67,740.95,54079
1738583639,743.67,740.40,54092
1738583699,743.67,740.65,54183
1738583759,743.66,741.15,54313
1738583819,743.66,741.80,54314
1738583879,743.66,742.35,54335
1738583939,743.66,742.35,54335
1738583999,743.66,743.10,54355
1738584059,743.66,743.00,54455
1738584119,743.66,743.10,54556
1738584179,743.66,744.00,54561
1738584236,743.66,743.50,54586
1738584299,743.66,744.90,54626
1738584359,743.66,743.50,54627
1738584419,743.66,743.20,54650
1738584478,743.66,743.75,54651
1738584539,743.66,743.75,54651
1738584599,743.66,743.90,54658
1738584659,743.66,743.90,54658
1738584719,743.66,744.15,54662
1738584779,743.66,744.15,54662
1738584838,743.66,744.10,54663
1738584899,743.66,744.00,54673
1738584959,743.66,743.80,54693
1738585019,743.66,743.10,54697
1738585078,743.66,743.45,54746
1738585139,743.66,743.35,54762
1738585199,743.65,742.05,54779
1738585259,743.65,742.10,54830
1738585319,743.65,742.85,54834
1738585379,743.65,742.85,54834
1738585439,743.65,743.50,54903
1738585499,743.65,743.50,54908
1738585557,743.65,743.00,54926
1738585619,743.65,743.00,54926
1738585679,743.65,744.30,54930
1738585739,743.66,744.40,55132
1738585798,743.64,743.75,56603
1738585859,743.64,743.75,56603
1738585919,743.64,742.85,56604
1738585977,743.64,742.85,56604
1738586039,743.64,743.05,56609
1738586099,743.64,743.20,56817
1738586158,743.64,743.00,56822
1738586219,743.64,741.25,56827
1738586279,743.64,741.25,56827
1738586339,743.64,740.30,56832
1738586399,743.64,740.10,56931
1738586458,743.63,741.60,56957
1738586516,743.63,741.60,56957
1738586579,743.63,741.10,56967
1738586639,743.63,740.20,56973
1738586699,743.59,739.15,57561
1738586759,743.59,739.35,57582
1738586819,743.59,739.35,57582
1738586879,743.53,739.25,58388
1738586939,743.53,739.75,58400
1738586999,743.52,739.00,58425
1738587059,743.52,739.45,58428
1738587119,743.52,739.30,58438
1738587179,743.52,739.00,58458
1738587239,743.51,738.50,58564
1738587299,743.51,738.50,58564
1738587359,743.51,737.70,58635
1738587419,743.50,738.30,58674
1738587479,743.50,739.10,58690
1738587537,743.50,739.35,58768
1738587598,743.50,739.35,58783
1738587659,743.49,740.95,58793
1738587718,743.49,740.95,58843
1738587778,743.49,740.70,58853
1738587838,743.49,743.80,59037
1738587899,743.49,743.90,59077
1738587959,743.49,743.00,59092
1738588019,743.49,741.80,59102
1738588079,743.49,742.75,59107
1738588139,743.49,743.00,59137
1738588198,743.49,744.25,59175
1738588259,743.49,743.15,59178
1738588319,743.49,743.15,59178
1738588379,743.49,743.55,59228
1738588439,743.49,745.50,59268
1738588499,743.49,746.55,59339
1738588559,743.49,746.30,59344
1738588619,743.50,746.15,59370
1738588679,743.53,747.45,59915
1738588739,743.53,746.60,59926
1738588799,743.53,745.50,59931
1738588859,743.53,745.65,60004
1738588919,743.54,745.65,60194
1738588979,743.54,745.05,60206
1738589039,743.54,744.75,60267
1738589099,743.54,744.75,60267
1738589159,743.54,744.80,60289
1738589219,743.54,742.00,60352
1738589279,743.54,742.00,60352
1738589339,743.54,741.10,60383
1738589399,743.54,741.60,60386
1738589459,743.54,743.30,60436
1738589519,743.53,742.85,60681
1738589579,743.53,743.80,60691
1738589639,743.55,744.10,61946
1738589699,743.55,744.70,61949
1738589759,743.55,745.25,61966
1738589819,743.55,743.85,62433
1738589879,743.55,743.85,62433
1738589939,743.55,744.35,62438
1738589999,743.55,744.65,62447
1738590059,743.55,745.40,62521
1738590119,743.55,745.90,62621
1738590179,743.55,745.10,62630
1738590239,743.57,744.95,62995
1738590299,743.57,745.30,63053
1738590359,743.57,745.80,63070
1738590419,743.57,746.05,63089
1738590479,743.58,747.45,63252
1738590539,743.58,747.15,63304
1738590599,743.58,746.90,63319
1738590659,743.58,746.85,63359
1738590719,743.58,746.25,63368
1738590779,743.59,745.00,63503
1738590839,743.61,744.50,64514
1738590899,743.61,745.05,64650
1738590958,743.61,744.55,64735
1738591019,743.62,744.55,64844
1738591079,743.62,744.25,64944
1738591139,743.62,744.25,64944
1738591199,743.62,743.40,64959
1738591259,743.62,744.25,64961
1738591319,743.62,744.90,65061
1738591379,743.62,744.25,65067
1738591439,743.62,744.25,65067
1738591499,743.62,744.25,65067
1738591559,743.62,745.70,65076
1738591619,743.62,745.05,65093
1738591679,743.62,745.10,65104
1738591739,743.62,746.15,65114
1738591799,743.62,746.10,65183
1738591859,743.62,746.10,65193
1738591919,743.62,746.10,65193
1738591979,743.63,747.00,65298
1738592039,743.63,747.50,65300
1738592099,743.63,746.90,65407
1738592159,743.64,747.20,65502
1738592219,743.64,747.60,65517
1738592279,743.64,747.30,65527
1738592339,743.64,746.60,65541
1738592399,743.64,746.60,65541
1738592459,743.64,746.45,65550
1738592519,743.65,745.45,65751
1738592579,743.65,745.45,65751
