t,ap,cp,v
1738577759,385.96,379.55,290208
1738577819,385.91,379.75,292656
1738577879,385.87,380.70,294315
1738577939,385.85,380.30,295805
1738577999,385.81,380.00,297567
1738578059,385.78,380.15,299171
1738578119,385.70,381.85,304068
1738578179,385.69,382.65,304760
1738578239,385.67,382.30,306512
1738578299,385.66,381.65,307324
1738578359,385.64,381.95,309196
1738578419,385.60,382.40,313256
1738578479,385.60,382.10,313686
1738578539,385.58,380.80,314927
1738578599,385.50,381.25,319346
1738578659,385.49,381.70,320590
1738578719,385.45,382.00,324295
1738578779,385.44,381.00,325674
1738578839,385.43,381.90,326031
1738578899,385.43,382.60,326377
1738578959,385.39,382.80,330749
1738579019,385.37,382.40,333768
1738579079,385.36,381.90,334901
1738579139,385.35,381.80,335542
1738579199,385.34,381.00,336469
1738579259,385.33,381.15,337475
1738579319,385.31,381.95,338925
1738579379,385.31,382.30,339115
1738579439,385.30,382.85,339981
1738579499,385.29,382.70,342294
1738579559,385.27,383.25,343812
1738579618,385.27,383.60,344958
1738579679,385.26,383.20,345491
1738579739,385.25,382.75,348286
1738579799,385.21,382.55,353452
1738579859,385.21,382.90,354121
1738579919,385.20,381.90,354890
1738579979,385.19,381.45,355954
1738580039,385.18,380.75,357254
1738580099,385.13,381.00,360856
1738580159,385.13,382.15,361243
1738580219,385.12,381.80,361614
1738580279,385.12,382.55,361716
1738580339,385.12,383.90,362150
1738580399,385.12,383.60,362798
1738580459,385.12,383.90,363725
1738580519,385.11,383.90,365449
1738580578,385.11,383.80,365950
1738580639,385.10,383.60,368328
1738580699,385.09,383.55,371442
1738580759,385.07,383.45,373534
1738580819,385.07,383.80,374092
1738580879,385.07,383.80,374275
1738580939,385.07,383.55,374676
1738580999,385.06,383.00,376602
1738581059,385.05,383.90,378538
1738581119,385.04,384.15,381019
1738581179,385.04,383.75,382768
1738581239,385.04,384.80,383401
1738581299,385.04,384.45,386191
1738581359,385.04,385.15,386924
1738581419,385.04,384.70,387521
1738581479,385.04,385.30,389177
1738581537,385.04,384.20,390587
1738581599,385.03,384.45,391099
1738581659,385.03,384.10,394033
1738581719,385.02,383.45,394619
1738581779,385.01,381.65,396629
1738581839,384.97,381.10,400640
1738581899,384.95,380.95,402862
1738581959,384.95,381.70,403760
1738582019,384.94,381.90,404023
1738582079,384.93,380.90,405293
1738582139,384.92,380.55,406600
1738582199,384.90,380.55,407960
1738582259,384.89,381.00,408933
1738582319,384.80,380.45,417056
1738582379,384.78,379.95,418189
1738582439,384.77,379.95,418970
1738582499,384.76,379.70,420030
1738582559,384.76,379.95,420436
1738582619,384.74,380.30,421592
1738582679,384.73,379.80,423292
1738582739,384.70,379.10,425452
1738582799,384.64,378.45,429776
1738582859,384.57,378.90,434837
1738582919,384.55,378.80,436578
1738582979,384.49,378.90,441611
1738583039,384.47,379.20,442810
1738583099,384.46,379.55,443633
1738583159,384.45,379.30,444441
1738583219,384.42,379.90,447835
1738583279,384.22,380.40,468348
1738583339,384.22,380.30,468625
1738583399,384.21,379.90,470249
1738583459,384.20,380.00,471513
1738583519,384.18,380.40,473433
1738583579,384.18,380.20,473906
1738583639,384.16,380.30,475353
1738583699,384.16,380.05,475757
1738583759,384.15,380.10,476397
1738583819,384.15,380.25,476816
1738583879,384.14,379.80,478183
1738583939,384.12,380.45,480184
1738583999,384.12,380.15,481005
1738584059,384.10,380.30,482434
1738584119,384.10,380.45,483467
1738584179,384.09,380.00,484213
1738584237,384.08,380.20,485827
1738584299,384.07,379.85,486547
1738584359,384.06,380.00,487326
1738584419,384.04,380.00,490119
1738584479,384.03,379.60,491508
1738584539,384.02,379.70,492140
1738584599,384.02,380.00,492413
1738584659,384.01,380.20,493395
1738584719,384.00,380.30,494403
1738584779,384.00,380.45,494653
1738584838,384.00,380.30,495099
1738584899,383.99,380.15,496265
1738584959,383.99,380.15,496427
1738585019,383.97,380.25,498611
1738585079,383.97,380.00,499024
1738585139,383.96,379.70,500488
1738585199,383.96,379.90,500615
1738585259,383.94,379.50,501869
1738585319,383.93,379.85,503134
1738585378,383.93,380.00,503286
1738585439,383.93,379.95,503561
1738585499,383.91,379.55,505838
1738585559,383.91,379.75,506093
1738585619,383.90,379.95,506599
1738585679,383.89,380.20,508286
1738585739,383.85,378.90,512997
1738585799,383.83,378.50,514872
1738585859,383.82,378.65,516066
1738585919,383.81,378.85,517076
1738585979,383.80,378.95,517817
1738586039,383.78,379.00,519779
1738586099,383.77,379.30,521055
1738586159,383.76,379.40,521755
1738586219,383.76,379.50,522195
1738586279,383.72,379.60,526048
1738586339,383.72,379.85,526426
1738586399,383.72,380.15,526644
1738586458,383.72,380.00,527366
1738586519,383.71,379.90,527941
1738586579,383.71,379.65,528046
1738586639,383.70,379.50,528999
1738586699,383.70,379.50,529229
1738586759,383.70,379.60,529881
1738586819,383.69,379.95,530398
1738586879,383.68,379.30,531662
1738586938,383.68,379.30,532374
1738586999,383.67,379.25,533061
1738587059,383.66,379.20,533951
1738587119,383.66,379.45,534167
1738587179,383.66,379.40,534588
1738587239,383.66,379.25,534804
1738587299,383.65,379.40,535994
1738587359,383.63,380.20,538177
1738587419,383.63,380.90,539813
1738587479,383.61,380.80,541921
1738587539,383.61,380.90,542628
1738587599,383.61,381.15,543493
1738587659,383.60,380.75,543723
1738587718,383.60,380.65,544157
1738587779,383.60,380.80,544617
1738587838,383.60,381.90,545169
1738587899,383.59,381.80,546298
1738587959,383.59,381.15,547537
1738588019,383.59,381.00,547979
1738588079,383.57,381.35,551984
1738588139,383.56,381.95,553203
1738588198,383.56,382.25,555121
1738588259,383.56,381.40,555428
1738588319,383.56,381.35,555782
1738588379,383.55,381.30,556098
1738588439,383.55,381.90,556649
1738588499,383.55,382.30,558238
1738588559,383.55,382.15,558775
1738588619,383.53,383.20,573352
1738588679,383.53,382.25,574829
1738588739,383.53,381.75,575363
1738588799,383.53,381.30,575916
1738588859,383.52,381.05,576897
1738588919,383.50,381.00,582262
1738588979,383.49,380.20,583063
1738589039,383.46,379.90,587886
1738589099,383.46,379.95,588292
1738589159,383.46,379.90,588820
1738589219,383.45,379.90,590305
1738589279,383.45,380.10,591276
1738589339,383.44,379.60,591874
1738589399,383.44,380.45,592475
1738589459,383.44,380.65,592783
1738589519,383.44,380.80,592871
1738589579,383.43,380.55,593113
1738589639,383.43,380.80,593299
1738589699,383.43,381.15,593569
1738589759,383.43,381.85,593846
1738589819,383.43,381.45,593908
1738589879,383.43,381.70,594089
1738589939,383.43,381.75,594186
1738589999,383.43,381.85,594673
1738590059,383.43,382.05,594718
1738590119,383.43,382.00,594816
1738590179,383.43,382.00,595797
1738590239,383.43,382.30,596160
1738590299,383.43,382.30,596302
1738590359,383.42,382.50,596571
1738590419,383.42,383.05,598559
1738590479,383.42,383.15,599187
1738590539,383.42,383.80,599775
1738590599,383.42,383.20,601005
1738590659,383.42,382.50,601906
1738590719,383.42,381.75,603397
1738590779,383.41,381.00,606703
1738590839,383.40,380.75,607087
1738590899,383.40,381.00,607672
1738590959,383.39,380.70,610534
1738591019,383.38,380.65,611778
1738591079,383.37,380.00,613774
1738591139,383.37,380.40,614528
1738591199,383.37,380.30,614811
1738591259,383.37,380.50,614883
1738591319,383.36,380.00,615763
1738591379,383.31,381.40,626252
1738591439,383.31,381.40,627979
1738591499,383.31,382.05,628263
1738591559,383.31,382.40,629309
1738591619,383.30,383.00,632214
1738591679,383.30,382.35,632544
1738591739,383.30,382.70,632690
1738591799,383.30,382.70,633197
1738591859,383.30,382.50,633575
1738591919,383.30,382.55,633683
1738591979,383.30,383.00,634618
1738592039,383.30,382.85,636480
1738592099,383.30,382.85,636948
1738592159,383.30,383.10,637808
1738592219,383.30,383.00,638417
1738592279,383.30,383.30,638828
1738592339,383.30,382.95,641944
1738592399,383.30,382.55,642370
1738592459,383.30,382.55,642396
1738592519,383.30,382.65,643293
1738592579,383.30,382.50,643863
1738592639,383.29,382.05,644339
1738592699,383.29,382.80,644466
1738592759,383.29,382.80,644725
1738592819,383.29,382.50,644830
1738592879,383.29,382.80,645901
1738592939,383.29,382.85,645932
1738592999,383.29,382.75,646671
1738593057,383.29,382.40,647061
1738593119,383.29,382.65,647338
1738593179,383.29,382.85,647389
1738593239,383.29,383.45,647693
1738593299,383.29,383.50,648547
1738593359,383.29,383.55,648857
1738593419,383.29,383.65,649251
1738593479,383.29,383.45,650012
1738593539,383.29,383.70,650578
1738593599,383.29,383.70,650938
1738593659,383.29,384.00,651738
1738593719,383.29,383.50,652421
1738593779,383.29,383.35,652824
1738593839,383.29,383.65,652933
1738593899,383.29,384.00,653265
1738593959,383.29,383.60,654339
1738594019,383.29,383.90,654559
1738594079,383.30,383.60,654849
1738594139,383.29,382.90,657431
1738594199,383.29,382.45,657805
1738594259,383.29,382.40,658108
1738594319,383.29,383.35,659147
1738594379,383.29,383.35,659967
1738594439,383.29,383.45,661075
1738594499,383.29,383.40,661485
1738594559,383.29,383.55,661688
1738594617,383.29,383.55,661901
1738594677,383.29,383.65,662519
1738594739,383.29,383.30,662667
1738594799,383.29,383.65,662807
1738594859,383.30,384.10,666490
1738594919,383.30,383.55,668498
1738594979,383.30,383.80,670156
1738595039,383.30,383.80,670964
1738595099,383.30,383.40,672644
1738595159,383.30,383.65,672806
1738595219,383.30,384.00,673382
1738595279,383.30,384.45,674189
1738595339,383.31,385.15,677224
1738595399,383.31,385.25,679151
1738595459,383.32,386.25,681310
1738595519,383.32,386.20,682519
1738595579,383.33,386.60,683816
1738595639,383.33,386.50,684608
1738595699,383.35,386.25,689658
1738595759,383.36,386.20,691887
1738595819,383.37,385.90,693202
1738595877,383.37,385.50,695709
1738595939,383.38,385.25,696979
1738595999,383.38,385.00,698982
1738596057,383.39,385.25,700561
1738596119,383.39,385.70,701653
1738596179,383.40,385.85,702689
1738596239,383.40,385.80,705693
1738596299,383.41,385.80,705997
1738596359,383.41,385.90,706877
1738596419,383.41,385.35,708004
1738596479,383.42,385.50,709287
1738596539,383.43,385.00,714174
1738596599,383.43,385.20,716129
1738596621,383.43,385.20,716129
1738596675,383.43,385.20,716129
1738596895,383.43,385.20,716129
1738597234,383.43,385.20,716129
1738597313,383.43,385.20,716129
1738597371,383.43,385.20,716129
1738597437,383.43,385.20,716129
1738597451,383.43,385.20,716129
1738597512,383.43,385.20,716129
1738597612,383.43,385.20,716129
1738597669,383.43,385.20,716129
1738597735,383.43,385.20,716129
1738597795,383.43,385.20,716129
1738597820,383.43,385.15,716270
1738597915,383.43,385.15,716270
1738597963,383.43,385.15,716292
1738598031,383.43,385.15,716292
1738598079,383.43,385.15,716293
1738598153,383.43,385.15,716298
1738598182,383.43,385.15,716300
1738598279,383.43,385.15,716300
1738598354,383.43,385.15,716300
1738598401,383.43,385.15,716300
1738598487,383.43,385.15,716300
1738573662,400.15,400.15,1770
1738573703,400.15,400.15,1770
1738573797,400.15,400.15,1770
1738573824,400.15,400.15,1770
1738573966,400.15,400.15,1770
1738574159,397.00,395.40,10475
1738574219,396.39,395.05,16337
1738574279,396.29,395.10,19383
1738574339,395.87,394.95,26126
1738574399,395.79,393.75,27592
1738574459,395.62,393.50,31733
1738574519,395.01,392.10,39079
1738574579,394.71,392.65,44325
1738574639,394.45,391.85,49154
1738574699,394.32,391.95,52649
1738574759,394.11,393.20,57432
1738574819,394.09,394.00,62607
1738574879,394.09,393.75,64850
1738574939,394.02,392.60,68994
1738574999,393.90,391.60,73460
1738575059,393.78,390.80,76616
1738575119,393.75,391.80,77619
1738575179,393.64,390.85,80854
1738575239,393.29,389.00,89357
1738575299,393.14,388.60,92370
1738575359,392.97,387.80,95573
1738575419,392.87,386.90,97238
1738575479,392.61,386.95,101523
1738575539,392.26,386.20,107395
1738575599,391.39,384.00,122276
1738575659,391.24,383.80,124828
1738575719,390.78,384.15,132213
1738575779,390.49,385.85,139148
1738575839,390.27,384.45,145580
1738575899,390.15,384.55,148859
1738575959,389.98,383.25,153144
1738576019,389.76,383.70,158950
1738576079,389.63,383.75,162118
1738576139,389.38,382.85,168680
1738576197,389.04,381.45,176436
1738576259,388.95,382.75,178839
1738576319,388.64,381.75,186911
1738576379,388.30,381.00,196770
1738576439,388.25,381.40,198089
1738576499,388.15,381.40,201056
1738576559,388.10,380.80,202601
1738576619,388.01,382.15,205423
1738576679,387.98,381.55,206695
1738576739,387.54,381.35,218925
1738576799,387.15,381.30,232854
1738576859,387.11,381.40,234628
1738576919,387.08,382.50,235972
1738576979,387.03,381.30,238115
1738577039,386.93,381.60,242809
1738577099,386.88,381.40,244985
1738577159,386.79,380.70,248867
1738577219,386.64,380.95,255607
1738577279,386.58,381.60,258486
1738577339,386.55,381.95,259955
1738577399,386.48,380.30,262880
1738577459,386.45,381.30,264665
1738577519,386.41,382.45,266965
1738577579,386.36,382.20,271484
1738577639,386.32,382.00,273450
1738577699,386.29,381.00,275636
1738577759,385.96,379.55,290208
1738577819,385.91,379.75,292656
1738577879,385.87,380.70,294315
1738577939,385.85,380.30,295805
1738577999,385.81,380.00,297567
1738578059,385.78,380.15,299171
1738578119,385.70,381.85,304068
1738578179,385.69,382.65,304760
1738578239,385.67,382.30,306512
1738578299,385.66,381.65,307324
1738578359,385.64,381.95,309196
1738578419,385.60,382.40,313256
1738578479,385.60,382.10,313686
1738578539,385.58,380.80,314927
1738578599,385.50,381.25,319346
1738578659,385.49,381.70,320590
1738578719,385.45,382.00,324295
1738578779,385.44,381.00,325674
1738578839,385.43,381.90,326031
1738578899,385.43,382.60,326377
1738578959,385.39,382.80,330749
1738579019,385.37,382.40,333768
1738579079,385.36,381.90,334901
1738579139,385.35,381.80,335542
1738579199,385.34,381.00,336469
1738579259,385.33,381.15,337475
1738579319,385.31,381.95,338925
1738579379,385.31,382.30,339115
1738579439,385.30,382.85,339981
1738579499,385.29,382.70,342294
1738579559,385.27,383.25,343812
1738579618,385.27,383.60,344958
1738579679,385.26,383.20,345491
1738579739,385.25,382.75,348286
1738579799,385.21,382.55,353452
1738579859,385.21,382.90,354121
1738579919,385.20,381.90,354890
1738579979,385.19,381.45,355954
1738580039,385.18,380.75,357254
1738580099,385.13,381.00,360856
1738580159,385.13,382.15,361243
1738580219,385.12,381.80,361614
1738580279,385.12,382.55,361716
1738580339,385.12,383.90,362150
1738580399,385.12,383.60,362798
1738580459,385.12,383.90,363725
1738580519,385.11,383.90,365449
1738580578,385.11,383.80,365950
1738580639,385.10,383.60,368328
1738580699,385.09,383.55,371442
1738580759,385.07,383.45,373534
1738580819,385.07,383.80,374092
1738580879,385.07,383.80,374275
1738580939,385.07,383.55,374676
1738580999,385.06,383.00,376602
1738581059,385.05,383.90,378538
1738581119,385.04,384.15,381019
1738581179,385.04,383.75,382768
1738581239,385.04,384.80,383401
1738581299,385.04,384.45,386191
1738581359,385.04,385.15,386924
1738581419,385.04,384.70,387521
1738581479,385.04,385.30,389177
1738581537,385.04,384.20,390587
1738581599,385.03,384.45,391099
1738581659,385.03,384.10,394033
1738581719,385.02,383.45,394619
1738581779,385.01,381.65,396629
1738581839,384.97,381.10,400640
1738581899,384.95,380.95,402862
1738581959,384.95,381.70,403760
1738582019,384.94,381.90,404023
1738582079,384.93,380.90,405293
1738582139,384.92,380.55,406600
1738582199,384.90,380.55,407960
1738582259,384.89,381.00,408933
1738582319,384.80,380.45,417056
1738582379,384.78,379.95,418189
1738582439,384.77,379.95,418970
1738582499,384.76,379.70,420030
1738582559,384.76,379.95,420436
1738582619,384.74,380.30,421592
1738582679,384.73,379.80,423292
1738582739,384.70,379.10,425452
1738582799,384.64,378.45,429776
1738582859,384.57,378.90,434837
1738582919,384.55,378.80,436578
1738582979,384.49,378.90,441611
1738583039,384.47,379.20,442810
1738583099,384.46,379.55,443633
1738583159,384.45,379.30,444441
1738583219,384.42,379.90,447835
1738583279,384.22,380.40,468348
1738583339,384.22,380.30,468625
1738583399,384.21,379.90,470249
1738583459,384.20,380.00,471513
1738583519,384.18,380.40,473433
1738583579,384.18,380.20,473906
1738583639,384.16,380.30,475353
1738583699,384.16,380.05,475757
1738583759,384.15,380.10,476397
1738583819,384.15,380.25,476816
1738583879,384.14,379.80,478183
1738583939,384.12,380.45,480184
1738583999,384.12,380.15,481005
1738584059,384.10,380.30,482434
1738584119,384.10,380.45,483467
1738584179,384.09,380.00,484213
1738584237,384.08,380.20,485827
1738584299,384.07,379.85,486547
1738584359,384.06,380.00,487326
1738584419,384.04,380.00,490119
1738584479,384.03,379.60,491508
1738584539,384.02,379.70,492140
1738584599,384.02,380.00,492413
1738584659,384.01,380.20,493395
1738584719,384.00,380.30,494403
1738584779,384.00,380.45,494653
1738584838,384.00,380.30,495099
1738584899,383.99,380.15,496265
1738584959,383.99,380.15,496427
1738585019,383.97,380.25,498611
1738585079,383.97,380.00,499024
1738585139,383.96,379.70,500488
1738585199,383.96,379.90,500615
1738585259,383.94,379.50,501869
1738585319,383.93,379.85,503134
1738585378,383.93,380.00,503286
1738585439,383.93,379.95,503561
1738585499,383.91,379.55,505838
1738585559,383.91,379.75,506093
1738585619,383.90,379.95,506599
1738585679,383.89,380.20,508286
1738585739,383.85,378.90,512997
1738585799,383.83,378.50,514872
1738585859,383.82,378.65,516066
1738585919,383.81,378.85,517076
1738585979,383.80,378.95,517817
1738586039,383.78,379.00,519779
1738586099,383.77,379.30,521055
1738586159,383.76,379.40,521755
1738586219,383.76,379.50,522195
1738586279,383.72,379.60,526048
1738586339,383.72,379.85,526426
1738586399,383.72,380.15,526644
1738586458,383.72,380.00,527366
1738586519,383.71,379.90,527941
1738586579,383.71,379.65,528046
1738586639,383.70,379.50,528999
1738586699,383.70,379.50,529229
1738586759,383.70,379.60,529881
1738586819,383.69,379.95,530398
1738586879,383.68,379.30,531662
1738586938,383.68,379.30,532374
1738586999,383.67,379.25,533061
1738587059,383.66,379.20,533951
1738587119,383.66,379.45,534167
1738587179,383.66,379.40,534588
1738587239,383.66,379.25,534804
1738587299,383.65,379.40,535994
1738587359,383.63,380.20,538177
1738587419,383.63,380.90,539813
1738587479,383.61,380.80,541921
1738587539,383.61,380.90,542628
1738587599,383.61,381.15,543493
1738587659,383.60,380.75,543723
1738587718,383.60,380.65,544157
1738587779,383.60,380.80,544617
1738587838,383.60,381.90,545169
1738587899,383.59,381.80,546298
1738587959,383.59,381.15,547537
1738588019,383.59,381.00,547979
1738588079,383.57,381.35,551984
1738588139,383.56,381.95,553203
1738588198,383.56,382.25,555121
1738588259,383.56,381.40,555428
1738588319,383.56,381.35,555782
1738588379,383.55,381.30,556098
1738588439,383.55,381.90,556649
1738588499,383.55,382.30,558238
1738588559,383.55,382.15,558775
1738588619,383.53,383.20,573352
1738588679,383.53,382.25,574829
1738588739,383.53,381.75,575363
1738588799,383.53,381.30,575916
1738588859,383.52,381.05,576897
1738588919,383.50,381.00,582262
1738588979,383.49,380.20,583063
1738589039,383.46,379.90,587886
1738589099,383.46,379.95,588292
1738589159,383.46,379.90,588820
1738589219,383.45,379.90,590305
1738589279,383.45,380.10,591276
1738589339,383.44,379.60,591874
1738589399,383.44,380.45,592475
1738589459,383.44,380.65,592783
1738589519,383.44,380.80,592871
1738589579,383.43,380.55,593113
1738589639,383.43,380.80,593299
1738589699,383.43,381.15,593569
1738589759,383.43,381.85,593846
1738589819,383.43,381.45,593908
1738589879,383.43,381.70,594089
1738589939,383.43,381.75,594186
1738589999,383.43,381.85,594673
1738590059,383.43,382.05,594718
1738590119,383.43,382.00,594816
1738590179,383.43,382.00,595797
1738590239,383.43,382.30,596160
1738590299,383.43,382.30,596302
1738590359,383.42,382.50,596571
1738590419,383.42,383.05,598559
1738590479,383.42,383.15,599187
1738590539,383.42,383.80,599775
1738590599,383.42,383.20,601005
1738590659,383.42,382.50,601906
1738590719,383.42,381.75,603397
1738590779,383.41,381.00,606703
1738590839,383.40,380.75,607087
1738590899,383.40,381.00,607672
1738590959,383.39,380.70,610534
1738591019,383.38,380.65,611778
1738591079,383.37,380.00,613774
1738591139,383.37,380.40,614528
1738591199,383.37,380.30,614811
1738591259,383.37,380.50,614883
1738591319,383.36,380.00,615763
1738591379,383.31,381.40,626252
1738591439,383.31,381.40,627979
1738591499,383.31,382.05,628263
1738591559,383.31,382.40,629309
1738591619,383.30,383.00,632214
1738591679,383.30,382.35,632544
1738591739,383.30,382.70,632690
1738591799,383.30,382.70,633197
1738591859,383.30,382.50,633575
1738591919,383.30,382.55,633683
1738591979,383.30,383.00,634618
1738592039,383.30,382.85,636480
1738592099,383.30,382.85,636948
1738592159,383.30,383.10,637808
1738592219,383.30,383.00,638417
1738592279,383.30,383.30,638828
1738592339,383.30,382.95,641944
1738592399,383.30,382.55,642370
1738592459,383.30,382.55,642396
1738592519,383.30,382.65,643293
1738592579,383.30,382.50,643863
1738592639,383.29,382.05,644339
1738592699,383.29,382.80,644466
1738592759,383.29,382.80,644725
1738592819,383.29,382.50,644830
1738592879,383.29,382.80,645901
1738592939,383.29,382.85,645932
1738592999,383.29,382.75,646671
1738593057,383.29,382.40,647061
1738593119,383.29,382.65,647338
1738593179,383.29,382.85,647389
1738593239,383.29,383.45,647693
1738593299,383.29,383.50,648547
1738593359,383.29,383.55,648857
1738593419,383.29,383.65,649251
1738593479,383.29,383.45,650012
1738593539,383.29,383.70,650578
1738593599,383.29,383.70,650938
1738593659,383.29,384.00,651738
1738593719,383.29,383.50,652421
1738593779,383.29,383.35,652824
1738593839,383.29,383.65,652933
1738593899,383.29,384.00,653265
1738593959,383.29,383.60,654339
1738594019,383.29,383.90,654559
1738594079,383.30,383.60,654849
1738594139,383.29,382.90,657431
1738594199,383.29,382.45,657805
1738594259,383.29,382.40,658108
1738594319,383.29,383.35,659147
1738594379,383.29,383.35,659967
1738594439,383.29,383.45,661075
1738594499,383.29,383.40,661485
1738594559,383.29,383.55,661688
1738594617,383.29,383.55,661901
1738594677,383.29,383.65,662519
1738594739,383.29,383.30,662667
1738594799,383.29,383.65,662807
1738594859,383.30,384.10,666490
1738594919,383.30,383.55,668498
1738594979,383.30,383.80,670156
1738595039,383.30,383.80,670964
1738595099,383.30,383.40,672644
1738595159,383.30,383.65,672806
1738595219,383.30,384.00,673382
1738595279,383.30,384.45,674189
1738595339,383.31,385.15,677224
1738595399,383.31,385.25,679151
1738595459,383.32,386.25,681310
1738595519,383.32,386.20,682519
1738595579,383.33,386.60,683816
1738595639,383.33,386.50,684608
1738595699,383.35,386.25,689658
1738595759,383.36,386.20,691887
1738595819,383.37,385.90,693202
1738595877,383.37,385.50,695709
1738595939,383.38,385.25,696979
1738595999,383.38,385.00,698982
1738596057,383.39,385.25,700561
1738596119,383.39,385.70,701653
1738596179,383.40,385.85,702689
1738596239,383.40,385.80,705693
1738596299,383.41,385.80,705997
1738596359,383.41,385.90,706877
1738596419,383.41,385.35,708004
1738596479,383.42,385.50,709287
1738596539,383.43,385.00,714174
1738596599,383.43,385.20,716129
1738596621,383.43,385.20,716129
1738596675,383.43,385.20,716129
1738596895,383.43,385.20,716129
1738597234,383.43,385.20,716129
1738597313,383.43,385.20,716129
1738597371,383.43,385.20,716129
1738597437,383.43,385.20,716129
1738597451,383.43,385.20,716129
1738597512,383.43,385.20,716129
1738597612,383.43,385.20,716129
1738597669,383.43,385.20,716129
1738597735,383.43,385.20,716129
1738597795,383.43,385.20,716129
1738597820,383.43,385.15,716270
1738597915,383.43,385.15,716270
1738597963,383.43,385.15,716292
1738598031,383.43,385.15,716292
1738598079,383.43,385.15,716293
1738598153,383.43,385.15,716298
1738598182,383.43,385.15,716300
1738598279,383.43,385.15,716300
1738598354,383.43,385.15,716300
1738598401,383.43,385.15,716300
1738598487,383.43,385.15,716300
1738573662,400.15,400.15,1770
1738573703,400.15,400.15,1770
1738573797,400.15,400.15,1770
1738573824,400.15,400.15,1770
1738573966,400.15,400.15,1770
1738574159,397.00,395.40,10475
1738574219,396.39,395.05,16337
1738574279,396.29,395.10,19383
1738574339,395.87,394.95,26126
1738574399,395.79,393.75,27592
1738574459,395.62,393.50,31733
1738574519,395.01,392.10,39079
1738574579,394.71,392.65,44325
1738574639,394.45,391.85,49154
1738574699,394.32,391.95,52649
1738574759,394.11,393.20,57432
1738574819,394.09,394.00,62607
1738574879,394.09,393.75,64850
1738574939,394.02,392.60,68994
1738574999,393.90,391.60,73460
1738575059,393.78,390.80,76616
1738575119,393.75,391.80,77619
1738575179,393.64,390.85,80854
1738575239,393.29,389.00,89357
1738575299,393.14,388.60,92370
1738575359,392.97,387.80,95573
1738575419,392.87,386.90,97238
1738575479,392.61,386.95,101523
1738575539,392.26,386.20,107395
1738575599,391.39,384.00,122276
1738575659,391.24,383.80,124828
1738575719,390.78,384.15,132213
1738575779,390.49,385.85,139148
1738575839,390.27,384.45,145580
1738575899,390.15,384.55,148859
1738575959,389.98,383.25,153144
1738576019,389.76,383.70,158950
1738576079,389.63,383.75,162118
1738576139,389.38,382.85,168680
1738576197,389.04,381.45,176436
1738576259,388.95,382.75,178839
1738576319,388.64,381.75,186911
1738576379,388.30,381.00,196770
1738576439,388.25,381.40,198089
1738576499,388.15,381.40,201056
1738576559,388.10,380.80,202601
1738576619,388.01,382.15,205423
1738576679,387.98,381.55,206695
1738576739,387.54,381.35,218925
1738576799,387.15,381.30,232854
1738576859,387.11,381.40,234628
1738576919,387.08,382.50,235972
1738576979,387.03,381.30,238115
1738577039,386.93,381.60,242809
1738577099,386.88,381.40,244985
1738577159,386.79,380.70,248867
1738577219,386.64,380.95,255607
1738577279,386.58,381.60,258486
1738577339,386.55,381.95,259955
1738577399,386.48,380.30,262880
1738577459,386.45,381.30,264665
1738577519,386.41,382.45,266965
1738577579,386.36,382.20,271484
1738577639,386.32,382.00,273450
1738577699,386.29,381.00,275636
1738577759,385.96,379.55,290208
1738577819,385.91,379.75,292656
1738577879,385.87,380.70,294315
1738577939,385.85,380.30,295805
1738577999,385.81,380.00,297567
1738578059,385.78,380.15,299171
1738578119,385.70,381.85,304068
1738578179,385.69,382.65,304760
1738578239,385.67,382.30,306512
1738578299,385.66,381.65,307324
1738578359,385.64,381.95,309196
1738578419,385.60,382.40,313256
1738578479,385.60,382.10,313686
1738578539,385.58,380.80,314927
1738578599,385.50,381.25,319346
1738578659,385.49,381.70,320590
1738578719,385.45,382.00,324295
1738578779,385.44,381.00,325674
1738578839,385.43,381.90,326031
1738578899,385.43,382.60,326377
1738578959,385.39,382.80,330749
1738579019,385.37,382.40,333768
1738579079,385.36,381.90,334901
1738579139,385.35,381.80,335542
1738579199,385.34,381.00,336469
1738579259,385.33,381.15,337475
1738579319,385.31,381.95,338925
1738579379,385.31,382.30,339115
1738579439,385.30,382.85,339981
1738579499,385.29,382.70,342294
1738579559,385.27,383.25,343812
1738579618,385.27,383.60,344958
1738579679,385.26,383.20,345491
1738579739,385.25,382.75,348286
1738579799,385.21,382.55,353452
1738579859,385.21,382.90,354121
1738579919,385.20,381.90,354890
1738579979,385.19,381.45,355954
1738580039,385.18,380.75,357254
1738580099,385.13,381.00,360856
1738580159,385.13,382.15,361243
1738580219,385.12,381.80,361614
1738580279,385.12,382.55,361716
1738580339,385.12,383.90,362150
1738580399,385.12,383.60,362798
1738580459,385.12,383.90,363725
1738580519,385.11,383.90,365449
1738580578,385.11,383.80,365950
1738580639,385.10,383.60,368328
1738580699,385.09,383.55,371442
1738580759,385.07,383.45,373534
1738580819,385.07,383.80,374092
1738580879,385.07,383.80,374275
1738580939,385.07,383.55,374676
1738580999,385.06,383.00,376602
1738581059,385.05,383.90,378538
1738581119,385.04,384.15,381019
1738581179,385.04,383.75,382768
1738581239,385.04,384.80,383401
1738581299,385.04,384.45,386191
1738581359,385.04,385.15,386924
1738581419,385.04,384.70,387521
1738581479,385.04,385.30,389177
1738581537,385.04,384.20,390587
1738581599,385.03,384.45,391099
1738581659,385.03,384.10,394033
