t,ap,cp,v
1738573670,542.00,542.00,1344
1738573682,542.00,542.00,1344
1738573741,542.00,542.00,1344
1738574159,538.92,538.00,3184
1738574219,538.78,538.80,3778
1738574279,539.63,540.45,5081
1738574339,540.25,541.05,9018
1738574399,540.18,538.60,9760
1738574459,540.07,538.20,10451
1738574519,540.06,537.50,10517
1738574579,540.04,539.70,10831
1738574639,540.04,540.60,10894
1738574697,540.15,540.70,12415
1738574759,540.27,540.75,14015
1738574819,540.29,542.00,14260
1738574879,540.31,541.70,14406
1738574939,540.32,541.55,14482
1738574999,540.32,542.25,14506
1738575059,540.33,541.50,14543
1738575119,540.33,542.55,14565
1738575179,540.43,543.20,15249
1738575239,540.51,544.45,15573
1738575298,540.74,544.55,16574
1738575359,540.94,543.85,17572
1738575419,540.94,544.85,17586
1738575479,541.20,543.55,18802
1738575539,541.21,542.15,18941
1738575599,541.21,543.80,18988
1738575659,541.55,545.55,20710
1738575719,541.73,544.45,22040
1738575779,541.80,544.85,22514
1738575839,541.82,545.85,22679
1738575899,541.91,545.85,23197
1738575959,541.95,544.00,23481
1738576017,541.96,544.70,23574
1738576079,541.96,542.25,23989
1738576139,541.96,542.00,24677
1738576199,541.96,542.50,24690
1738576259,541.96,543.00,24735
1738576319,542.02,542.55,26386
1738576379,542.02,543.20,26396
1738576439,542.02,542.95,26508
1738576499,542.02,542.00,26895
1738576559,542.02,542.20,26922
1738576619,542.02,542.55,26962
1738576679,542.02,543.00,26996
1738576739,542.06,544.55,27757
1738576799,542.06,545.05,27770
1738576859,542.07,542.90,27875
1738576919,542.07,541.55,28297
1738576979,542.05,541.25,28658
1738577039,542.03,540.40,28958
1738577099,542.02,538.10,29069
1738577159,541.87,536.50,29975
1738577219,541.85,536.50,30080
1738577279,541.54,536.60,31655
1738577338,541.50,536.70,31864
1738577399,541.21,538.75,35176
1738577459,541.21,538.65,35188
1738577519,541.21,538.80,35233
1738577579,541.19,538.00,35397
1738577639,541.17,537.70,35641
1738577699,541.17,537.70,35641
1738577759,541.17,538.45,35666
1738577819,541.16,538.00,35776
1738577879,541.16,538.00,35779
1738577939,541.16,537.25,35826
1738577999,541.16,536.75,35827
1738578059,541.10,536.65,36266
1738578119,541.10,537.30,36323
1738578179,541.09,537.10,36357
1738578239,541.08,537.50,36457
1738578299,541.07,536.95,36544
1738578359,541.07,536.75,36553
1738578419,541.07,536.55,36556
1738578479,541.07,536.30,36558
1738578539,541.07,536.35,36569
1738578599,541.01,535.00,37041
1738578659,540.98,534.00,37171
1738578719,540.95,536.00,37365
1738578779,540.90,536.65,37778
1738578838,540.86,535.80,38091
1738578898,540.86,536.70,38127
1738578958,540.85,536.65,38166
1738579019,540.84,535.80,38233
1738579079,540.84,535.50,38253
1738579139,540.84,535.50,38253
1738579199,540.83,534.80,38334
1738579259,540.83,535.00,38352
1738579319,540.81,533.75,38445
1738579379,540.76,534.80,38717
1738579439,540.76,535.80,38721
1738579499,540.51,535.75,40921
1738579559,540.51,535.75,40921
1738579618,540.50,536.95,40988
1738579678,540.50,536.95,40988
1738579739,540.50,536.95,40988
1738579799,540.50,539.20,41210
1738579859,540.49,540.70,41978
1738579919,540.49,541.35,42240
1738579979,540.49,541.60,42242
1738580039,540.49,541.40,42247
1738580099,540.49,540.40,42932
1738580159,540.49,540.00,42982
1738580219,540.49,539.40,42996
1738580279,540.49,539.40,43045
1738580339,540.48,539.90,43611
1738580399,540.47,538.40,43715
1738580459,540.46,539.65,44265
1738580519,540.46,538.50,44366
1738580578,540.44,538.00,44588
1738580639,540.44,538.75,44616
1738580699,540.44,538.80,44628
1738580759,540.44,539.05,44647
1738580819,540.44,539.10,44683
1738580879,540.44,539.00,44702
1738580939,540.44,538.70,44716
1738580999,540.44,538.75,44717
1738581059,540.44,538.75,44717
1738581119,540.43,539.40,44895
1738581179,540.43,539.40,44895
1738581239,540.43,538.55,44913
1738581299,540.41,537.35,45254
1738581359,540.40,536.40,45374
1738581419,540.39,536.30,45518
1738581479,540.39,536.90,45524
1738581539,540.39,536.90,45546
1738581599,540.33,535.50,46152
1738581659,540.31,535.00,46330
1738581719,540.31,535.00,46340
1738581779,540.31,535.05,46351
1738581839,540.31,534.85,46381
1738581899,540.31,534.65,46388
1738581959,540.30,534.45,46393
1738582019,540.30,534.45,46393
1738582078,540.30,534.95,46400
1738582139,540.30,535.85,46411
1738582198,540.30,535.85,46411
1738582259,540.30,536.05,46456
1738582319,540.30,535.15,46468
1738582379,540.29,535.70,46519
1738582439,540.28,535.00,46635
1738582499,540.28,535.00,46635
1738582559,540.28,535.95,46636
1738582619,540.27,537.10,46690
1738582679,540.27,536.70,46745
1738582739,540.27,537.00,46771
1738582799,540.27,537.00,46772
1738582859,540.27,536.65,46800
1738582919,540.27,536.70,46804
1738582979,540.26,536.60,46814
1738583039,540.26,536.60,46819
1738583099,540.26,536.60,46819
1738583158,540.26,536.60,46893
1738583219,540.25,536.85,47092
1738583279,540.25,537.20,47093
1738583339,540.24,536.85,47134
1738583399,540.24,536.45,47197
1738583459,540.20,534.65,47520
1738583519,540.20,534.65,47521
1738583579,540.18,534.85,47689
1738583639,540.18,534.50,47709
1738583699,540.16,534.25,47819
1738583759,540.16,534.25,47819
1738583819,540.16,534.00,47855
1738583879,540.16,534.00,47855
1738583939,540.16,534.00,47855
1738583999,540.16,534.20,47856
1738584059,540.13,533.90,48123
1738584119,540.03,532.70,48752
1738584179,540.03,532.70,48752
1738584239,540.03,532.70,48752
1738584299,539.86,532.30,49888
1738584359,539.86,533.15,49889
1738584418,539.85,533.40,49894
1738584479,539.84,533.00,49994
1738584539,539.83,532.00,50058
1738584599,539.81,532.40,50195
1738584659,539.81,532.40,50195
1738584719,539.81,532.40,50195
1738584779,539.81,532.35,50211
1738584839,539.81,532.80,50213
1738584899,539.81,532.80,50213
1738584959,539.81,532.40,50231
1738585019,539.81,532.40,50231
1738585079,539.79,531.70,50352
1738585139,539.79,532.40,50353
1738585199,539.78,531.75,50360
1738585259,539.78,531.75,50410
1738585319,539.77,531.50,50471
1738585379,539.77,531.15,50481
1738585439,539.75,531.00,50541
1738585499,539.74,531.45,50631
1738585559,539.74,531.40,50632
1738585619,539.74,531.40,50632
1738585679,539.74,531.40,50632
1738585739,539.74,531.40,50632
1738585799,539.74,533.55,50636
1738585859,539.73,532.40,50710
1738585919,539.67,530.50,51030
1738585979,539.67,531.05,51043
1738586039,539.67,531.05,51043
1738586099,539.67,531.65,51058
1738586159,539.66,531.95,51087
1738586219,539.66,531.95,51087
1738586279,539.66,531.95,51087
1738586339,539.66,530.85,51130
1738586399,539.65,531.50,51155
1738586459,539.63,531.60,51308
1738586519,539.63,531.60,51308
1738586579,539.63,531.60,51308
1738586638,539.63,531.25,51318
1738586699,539.63,531.25,51318
